scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F2 D B R' U2,R' U2 R F D U' B' D' F' U',L2 U R F2 R2 U L2 D B R' B R,L2 D' F R' B F' U B' D L2,F' R' D' B F' R2 B' F D' R F,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R2 F' L F,B2 L' D' U B' D L' U' B2,L2 R' B' R' D U2 L B F2 D' B U,U2 R B L B F' D' B2 F R' U2,U2 L' R' U' R2 B2 R2 U' L R,46
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B' D2 U2 L' F U2,F L U' L' R2 B U' R F',B' D' B D' R2 D B' U R D L2 U',U F' L D' U B D U' L2 F U',L D L' D2 L2 D U B D' B' U' L2 D,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 U' F2 D2 F',L B2 F' L D B' L2 D' F,L' F R2 F' L F R2 F',U L U L D B L' B' D' L' U2,F' L' D2 L B D L B2 L' B' D' F,45
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 D' R B',D2 R F U2 B' D B F2 D2 B2,L U' B2 U B' L2 B L2 B' U L,L U B' L' B' U' B' L U B,F2 U2 L2 D2 B' L2 U2 R2 F,44
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R F2 D' R B,F2 R U2 B2 F D' L D' B2,L' F L2 R' B2 D' L2 D L B' R D2,B2 F U' L' D' U2 L2 R2 U' R D F,U R' B' U R D U' B' U' L B D',50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' R B' F2 R',B2 L B D2 F2 D2 B,L2 D2 U2 R' F' D F R' F' D U2 B,U2 L' U' L2 D' U2 B U F R2 F' D,L' B' L U R D B D' R' U',46
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F L B L2 D2,U' L D' F L' D' U' L D,B D2 F' R U2 R' U F2 U' R D2 L',D L' F2 L' D' L' B' U2 B D F L2 D',D U' F U F' L D' U B' L U' L',51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R' D' R' B2 F',B D2 B2 F2 L B2 F D2 U,D' R' D L2 B U B2 L' D' B' D L',F2 R D B F' R' B' F R' F2,D2 L' B2 D2 F2 R' U B' D' U R D F2,49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D B R2 D R' B',B2 U B2 F2 R' D2 F D F,F L2 R' B2 U L' B' F D' F' D' L',L2 B R B U B2 U' R' U' B' U2 L2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,53
