scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U B2 F D2 U2 R',F' L' D' U B L D F' U',L' B' D' U B2 R B2 R D U' L,D2 U L U2 B' R' D' R B U2 L' D2 U',L B2 R' B' R B U2 R U2 B L' B,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 F' D U' F2 R',L' R' D R' U' F D U R2,F' U' B F L' U' L B' L' U B' L,F2 R' F' R D R2 F R2 F' R' D' F',,39
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' B2 R2 B L' F,L' R' D R F U L' F' L,D2 L B' R' D' R B U2 F U2 L' D2,R2 B' U B2 D' R' U R' D U2 B' R2,R2 D' B' D B R2 F2 R2 D L D' L' R2 F2,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U B D' L B' U',U2 F D2 U2 L' D' L D2,R' B' U2 R' U2 R F2 R' B F2 R,R2 D' U R D F2 D' R' D F2 U' R2,D2 B2 L2 D2 B D B' D L2 U' F U B2 D2,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 R D F' R2,L' D F2 R F2 D2 B D,F2 U' L2 D B2 L U L2 D' L' R2 F2,D' F R' B R2 F R B' R2 F2 D2 F2 D',R B2 L2 B2 D' B' D B' L2 F U' B2 F' R',52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F R' B' U2 R',R2 B R D2 R2 B R',R B F2 R F U2 F' R B' F2 R,U L2 U R B F D B' D' F' R' U' L2 U',L B2 U R' U' B2 D2 L' D' L D' L',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R B R' B2 U R,R2 B' D2 L' B' L2 D2 L2 R2,D L2 B F2 L2 B' D' B2 D F2 L2 D',R' B R2 D' U2 F U' R' F2 R D U' R' B',,41
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 L2 R U' B',R2 B D' R D' L2 R' D' R2,L U2 L' F' U' F D2 U L F U2 L' D2,D R2 B' D F D' R2 F R2 F' R2 B D',D' R' D L R B2 R2 B' R B R B2 L',53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B' U F D B2 F2,U' L' U2 F D' U' L B' D,L' R U' L' R2 B F2 D' B' F2 L2 R,F2 U' R U L2 B L' F2 L' U R' U F R2 U2,L B2 R' B' R B U2 R U2 B L' B,54
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' B2 F L2 D',D2 R U B R U' B D2 L',R2 D L' R2 D2 L U B2 R F2 U' L2,F2 U' R U L2 B L' F2 L' U R' U F R2 U2,R2 B2 D' R B2 R' D B2 R2 D R' D R D',55
