scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' F D U B2 U F' U R B U2 B' D U' B D2 B2 R2 D' U' F D F' L B,x2,F' L D' U2 F' U,R2 D2 L B' D' L' B' R' D',D' F' L F L B' R B L2 D F R',U L B2 U2 L U' L' B' U' B L' U' B2 L',F' L' B2 L B' F U' B2 U B,51
R D U2 R L2 D' F D2 B' U' B2 R U2 L2 F' R' D L' D' R2,x2,F R2 U' F R',R B F R B2 U2 L U' F L',U R U2 L D2 F L D2 B2 L2 F U,U L' D F' D' B F U' F' D L' F D' L,R' D' B F' R U R' B' F D,51
L2 D2 B' F2 L' R' D2 U2 F' D U2 F D2 B2 D2 R' L D2 U R' B L2 D' B,x2,B2 L' U B' D F,U2 B R2 U2 F D L2 D' F,R2 F' L' B R' B' L F2 L F' L' R2,B2 F D B' U' B D' B2 F' L' U B U' L,B2 D2 F2 L F2 D2 B2 R,49
L' F L U B2 U' B R2 F U R' B2 L2 F D2 F L R2 B2 U' R F L2,x2,F2 U' L R2 B' U2,U F' D R B' D2 R2 U' R D,B2 F D2 L2 B' U' B2 F' D2 R2 B,B L F U F' U B U' B' L2 B2 L B,B' U' L' R B2 L R' U' B,49
D L U' F' U2 F' U2 R2 L' D' L2 D2 L' B D2 U' L2 U2 L2 U' R' U R,x2,L B D2 R' D',U2 R' B' L2 B2 L2 D2 F L D2,F' L2 U B2 L' D2 R2 D2 L' D F R F2,L B' D L F U' L B' F2 U' B U F D',L' D2 F2 U2 R' F2 D2 B2,50
D' R' B2 U2 L2 B' R' D' L' B2 R' L2 D' B2 D2 U2 R U D R F2,x2,B L2 U' R',B2 R F' L2 D L2 U2 B2 F,U F U' R U2 F' R' F' U' F2 R U',B' R' F U' F' R B F U R B R' F',B' U L' R B2 L R' U B,47
R2 U R' L' U R2 U' F B2 L' F2 L' B2 U2 R2 F2 R' U' B R' D R2 B2,x2,D R' B2 F' L' B,F D L D' F2 R' U' R B F,F' D' R2 U B U' B2 F D2 B D,L' B' R D2 F U' L U F' D2 B' L R',F' L' B2 L B' F U' B2 U B,50
D R2 L F2 D' F2 R F D' U' B' F' D' B R2 B' L' R' F' L R2 F' D2,x2,F L' D R2 U' B',R' B D2 L U' B F D2 U,F2 U B' F R2 B F' U F2,U2 B' U2 L B U L2 B' L' D U L D' B',D' B F' R U' R' B' F D R,48
F L' D' L2 R' U' B' U F D R' L U2 B R F U F2 D2 B2 F,x2,R F' U2 L2 R F,D2 B U' L D2 B2 F' U,U' L2 B2 R' D2 B2 U R U' L2 U2 R',F R2 U2 F R2 F2 L' U' B2 L F R F' U,L' D2 F2 U2 R' F2 D2 B2,48
D R2 L F2 R2 U' L2 D L2 F2 R' F2 R2 F D2 U2 R' U2 D L2 R2 B' U F2 B2,x2,D F' R' B U,B D' B' D2 F L2 F' D',L' D' R D R' B' L' R B R' D L2,U' F U2 R U R2 B2 R U2 R' B2 R F' U2,U2 B2 D U L U' L' D' B2 U B U B',52
