scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 F' D2 L B',R' F' U' R D' U2 F' D U' R2,R' B2 U2 F2 R' F2 U2 B L' R D,D L' F' R B2 R' F2 L U2 L' F' L D',,39
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 R' D B' L U',D B F2 L2 U' L2 B' F D',F2 L D2 F R' B2 R D F' D L' D,D F' U2 L' F2 D' F' D L D2 U2 F,R B2 D' R D B2 U2 L U L' U R',51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L D' L2 B L',D' F2 D2 U' L D B' L' R2 U,D2 U' F D2 F' D' U R F2 R' D',D B' L B L2 B' L B D2 L D L' D L,D2 L R2 B L' B' R2 D2 R2 U' B' U B R2,54
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R U B U' L',R D R F' D F2 D' R D',R' F D F' L' D' F' D L D R,D L' D L B L B' D' L B L2 B' D',L B2 L2 B2 U B U' B L2 F' D B2 F L',52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 R' B D2 U2 R',B R B2 D B F R' F D',R F' L' R' D L D' F' U L D2 U',L U2 F R D' B R2 B' D R' F' U2 L',D' B U' B' L U R' U F U2 L' U R D,54
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D B2 L D2 U R2,L B' D' B' L R U' L2 D',D' R D2 B R2 B' D2 R',F U B2 L2 U' L2 F' U B2 U' F' D' F,B R' B' R B' R2 U2 B' R U2 R' B U2 R2,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U R F D' B2,D' F' D2 F R' F2 D2 F' R' F,D U' L' F L B R2 B U2 B2 D2 U,B' F' U2 B' L' B2 D2 L U2 F R2 B R,R2 B' U' B U R2 D2 R2 B L B' L' R2 D2,54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' R' B L D',R2 U' F' L2 R2 B' D U2 L2 U,D F2 R' B' D' B D' R2 F2 R' D2,R' B2 D' L B' R' B L' B2 R B2 D B2 R,R' B' R B F D2 B2 D' B D B D2 F',53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' F D' U' L',D R' B U L2 U2 R' B' U,D' F U2 F R' D R F2 D U2 F',U' F2 R' D B U B2 D' B' U' B2 R F2 U,R2 B' U' B U R2 D2 R2 B L B' L' R2 D2,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B U' F' R2 D2 B2,R2 D2 F D' R' B' F' R B R2,L R U R2 D2 R' U' L' R2 D F,B2 L D' R' B2 R D' B D L B' L2 D2 B2,R2 B' U' B U R2 D2 R2 B L B' L' R2 D2,55
