scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 B2 L' D2 R U,D' U' L' B U B' L R2 D,D F' U B2 L2 D B2 U' R2 F' D',L' R' U L2 F2 L2 U L R U2,B' R2 B L B' R2 B L',44
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 U' R' B D' U,U' B2 F2 L' D2 B2 D2 F2 U,R' F2 L B2 F U' R' U' R B2 F R,D R' B' F D' B F' R' D' U F' U',B D2 B' R U2 R' B D2 B' R U2 R',51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D B D F R U,U' F2 L2 U2 B2 U' B2 L2,D R' U F U' R D',F2 U2 L2 D2 B' L2 U2 R2 F,L2 B' U' B U2 F' L2 F L2 U' B L2 B',43
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 U' L D2 L2 D F,F' D2 L2 R' D' L2 R' D2 U' F,B D R' F' R U F R2 U2 F' D' U2 B',B' L B2 F2 U B F' L' B F' L' B,B' U' B D2 B' U B D2,50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U' F2 L' D' B' U2,F' R D R' U R2 D' R2 F,R2 D' L D' B D2 B' D2 L D L2 R2,B' L B' F U2 L B' F U' B2 F2 L B,L2 B' U' B U2 F' L2 F L2 U' B L2 B',53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' D' F' L U' R2,B U' L2 U' L F2 U F' U B',B' L' D U2 L' D' U2 L B,L' D L' D' F L' B' U L U B F' L,U2 F' U' B2 U F U' B2 U',47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 U B R' F D,F' L' R' F' L' U' R U' L2 F,F2 L2 B D2 U2 R D2 U2 B' L2 F2,U B L' U' L' B R2 F2 L2 R U F R U2,F' D2 F D B2 D' F' D B2 D F,52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D2 B' L' F2 D F2,L2 U2 L' U2 F2 U2 B' L' F2,L U2 L B' U2 F2 D2 F R D2 L' F,D F' R B' D' B2 R B' D2 R' D2 R F D,L U R2 U' L' U R2 U',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' U L' D R2,U' B L' U R U2 R' F U2 B',L' U' B' U B R B' L R',L D L' B2 D' F' R2 B2 D R2 F D B2 D,L U R2 U' L' U R2 U',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U' L2 B' F D' L,B U2 F' U L' F U B',F2 L2 D2 B U L2 F L B L' U2 R2,L' F2 R B U R2 U R2 U2 R' B' F2 L,L B' R2 B L' B' R2 B,47
