scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 L R2 B' L2,D2 F' L D R D2 L' D2 L',D U' F L2 U L2 U F D F2 D2,B' F' D' L' D2 L' D2 L2 D F L' B' L B2,L' U L R' F2 L' R U L,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B' U' B' L2 B2 D2,B D R D F D2 B' F',L2 B2 D L2 R' F R D' R2 F R2 U,R D' B' L D L' D' B' L' B2 D R',U2 L F' L' U' R' D' F D R U',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 R' B' F2 L2,U' B2 D' U R2 B' D B,U2 R2 D' F R2 U' R' F2 L R B L',F' U2 R' U' B' R2 F' R B R' F R2 U' F,L' U L R' F2 L' R U L,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B2 R2 F' D' F2 U,D' B' U B2 U R2 U R' B' D,U B L U R2 F L' R' B2 R' B,F' U2 R' U' B' R2 F' R B R' F R2 U' F,F L B D2 F' D' F' D F2 D2 B' F' L',54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 B' L2 U R',D' R' B D' R D2 U' B U B2,B D' R B2 U R U' R' B D,B R F' R F' U' F2 R' B' D' R' D,U' L2 R2 D B' D' L2 R2 U F,47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B L2 D2 L B' F D2,L' R' F' R2 F2 L D2,B' R B' L B2 R' U' R B' L' R' B,F' D B2 U2 B2 D' L2 U' R2 U L2 F,,38
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B' R2 U' L' B' L2 D',F D' U2 L' D' L2 R' U2 R2,U R F' D' F R' B2 L B2 U',B' U2 L B2 L' U L B2 L2 U L U B,U' L' U' L U2 L2 D' U' B' U B D L2,52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 L' D B' D2 R,B2 U2 L2 B' D2 U' F D2 B',F' L F R D2 R' U' B' U' L' U2 L',B2 L2 U2 F U2 R B' R D2 B L2 R2 B2,U' L' U' L U2 L2 D' U' B' U B D L2,53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F' R D' R,F' R2 F' L' F R2 F,L2 F' L' B' F L2 U L2 U B L2,U L R' F L' U L U F R U' L' U,U' L2 R2 D B' D' L2 R2 U F,46
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D2 B U' L' R2 B' R,B' L D U' L' F D' L2 B,L' B R2 F R' B' R2 F L R2 D' R',U' L B' R D' L' R2 U' R' F R2 U L B L',,43
