scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U2 R D B' D2 B' D2,R2 B R' D' U B' R2 D R',D U' F D' F' L' F L U,U L F' L F L D L F2 L' U' F2 D',R F' U' B' U B F R2 B2 R' B R B R,52
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L R U B' D',U2 L D' B' R' D B U2,R B R F2 R' F' U' B F' L2 B2 R2,D2 U' B' U B' R' B2 D R B R' D,F' U' L B' F U2 B F' L U F,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 F2 U' L' F' D,L' U L2 U2 R B R' U,F2 U2 L B L' F L' F2 D L2 B' F,U F L U' F' U F' L' F' L U',L' R' D' R2 F2 R2 D' L R D2,47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L F L R B' F2,R2 D U' B' D' U2 B U' R',D' F' L R' D L' R D,F2 U2 B R D F' D' F R' B' L' U2 F2,F2 D2 R2 U2 B' U2 R2 D2 F,45
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' F L2 F2,L' D2 U' R' F2 D' R2 U F2,L U B' U' F2 R F' U' B U F',B2 D2 R' D' L' U F' U' F L D' B2,F' U' L B' F U2 B F' L U F,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L R2 D U,L' B' D F' L' U' F D' B,B' F R2 U' F R B U2 F2 L' U2 F2,B D2 F' D2 L2 B' U' L2 B2 R B R' B,F' D2 R2 U2 B U2 R2 D2 F2,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 U2 L' D' R B',B F' U' F2 D B' F' L R,U F' L' R2 B2 D F2 L2 B2 F',U2 R F L2 F D2 B' U2 B D2 F2 R' U2,R U' R' U' R2 D B U B' D' U' R2 U2,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 R2 U' L2 D2,F' L' R' B R F U B',L2 B' R2 U R2 F U' R F' R' U' B,D2 U' B R B2 R' B2 R' B D B2 D U,F' L' B F' D F' D' B' F L F2,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 F' U' F R2,D' R B2 U2 B' U R D B' L',F2 U F R U B2 D2 L B2 U,D' B' U L U' B U L2 D L' F' L2 U',F' L' B F' D F' D' B' F L F2,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' R' D2 B L2 D,B' U' B2 R' U' R2 B' L2 R',B U' F U' R2 F' U2 L2 B' L2 B',U F2 U2 L F U2 F' U' F2 L F L' U2,R F' U' B' U B F R2 B2 R' B R B R,53
