scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L B' U F' D' F2,F2 D R2 F' R' F' U B',U2 B2 U2 B F' D' F U B U B2 L',B U2 B R2 D B' U2 B D' R2 B2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,51
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R' D U2 F' R' D,F' D2 B D' B F L' B,L2 D' F L U L' B F' D U' L,U R D2 L' U L2 D2 R' D2 L' D2 U' R',U' R2 D2 F L2 D2 R2 B U',47
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,R' F' D B R2,U2 F U2 L' B2 L F' U,F' L' B2 D' F' D' R' B2 F2 U2,L' U B' F R U R2 U B F2 L' F U,,36
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 L' F' L2 R,U B2 D U2 L' D' L',L2 F' L' F D' U B U B2 D U2,U L F2 U L2 B2 R' D' F2 R' D2 B2,D' U F' L2 F D U' R' F2 R,45
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' D L D' U R2,L F' D F U B U' L2,F2 U2 B' F2 U' B D2 B2 D2 F' L F,F2 R' F' R U2 B' R B U' F' L' U' L,U F' U2 R2 D2 B' D2 R2 U,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 F2 D L U' F,U2 B' D U2 L D' U2 B U',U B2 U' L2 D' B D F2 D' B' F2,B2 R2 B D2 U L' F U2 L F D2 U' B R',D' U L U L' D U' F U' F',50
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B D' F R2,U' L2 F2 D2 F' R' U F',L D' B D U' L' F' L' F U2 L',L F U' F2 L' B L' D2 B' L2 F U L' U,L' B' F U2 B F' L',44
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D2 F' R' D U2 B,B' L F U R2 F' L2 B,L' F2 D R' B F2 U2 B' F' D' F L,L' U2 B' R' F' U F U R B U L,R' F2 R D' U F' L2 F D U',48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R D' R B,B' D' U2 B2 D U2 R B R',F' D L B2 L B' F U B2 U' L' B,F' U2 F U2 L B' D' F' D B L' R U2 R',R' F2 R D' U F' L2 F D U',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' F2 R' U2 B,L2 B2 L B2 F2 D' F2 U L,F U' F' U B2 F' L' B D B F,F' L2 R2 D2 B R2 B' D' F D' F' L2 R2 F,D' U F' L2 F D U' R' F2 R,49
