scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D R U' R B D,F2 U' L U2 L F L2 F2 U,F' R2 D' U2 F' R F D R' U2 R' F,B' D2 B F' R' F D2 U2 R D2 R' U2,B2 L' F L B2 L' F' L,47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R D2 R B F',F' D L D2 L' D F,D B2 R' B' R2 B R' B2 D',R2 D F D2 R2 D2 R2 D B' D2 F' D' B,D' B R' F2 R B' R' F2 R D,44
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F L2 R U' R' B' R2,L D' L B F R B' L2 F',U2 L F2 L' F R U2 R' F U2 F',D F D' F L2 B' U B L2 F2,B2 R' D F2 D' R B2 R' D F2 D' R,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B' D L D B2 F',B' F2 U B2 F' R B' F',L' B R B' R B R B' L R2,F' R' B R F R2 F R B' R' F' R2,F' U F D2 F' U' F D2,44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L B F U2 R2,D2 B2 U' B2 L' D2,D2 R2 D R' F' L' R' D2 F' D2 L F,B D' U' F' D F U B' F' D' F D,L U' L' D2 L U L' D2,44
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D2 U' F' L B' D' R',B D B2 U2 L2 B L' D',R2 U2 R U2 B R2 B' R2 U2 R U2,D2 L2 D2 L U' L' D2 L2 D2 L' U L,D' B R' F2 R B' R' F2 R D,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 B' D B' R F',B2 R F' R2 U2 R U B2,D2 B D B F' R B' R F D' B',D2 B2 L U L2 U L2 U2 L2 U L B2 D2,D2 F' U F D2 F' U' F,46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' D' R U B',L2 U L' D U' L2,U R' D B' F2 D' B F2 D' R U',B2 D2 B F' U R' D2 R D2 U' R' B F,B2 R' D F2 D' R B2 R' D F2 D' R,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R D B L',F R F2 L2 R' D' L2 F,R2 U2 L2 D' F R2 D2 L' U2 L' B,B D' F' D R2 F' R2 B' F2 D F' D2 F D',B2 U F' U' B2 U F U',45
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 F D R D2,D' L D B2 U2 B U' B,F L2 D2 B F' U2 R2 D2 U2 B',F' D R' D2 L2 F' U2 R' U2 R F L2 D F,R B U2 F2 D' F U' F U' F D B' F' R,51
