scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 F' D2 F' R,L2 U L U' B D2 B' F,B2 F' U L' U' L B U' B F,D U2 B' D' U' L' D B D' L U',B2 R2 B' L2 B R2 B' L2 B',43
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 B2 D B' D2 R',L2 B L2 R2 F R2 D2 R' U2,B2 R' B2 U' R D U' B D' U2,B2 R2 D' U' F' U F D R2 B2,L' U2 L' D' L U2 L' D L2,44
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L B' U2 B' D' F,L F U L2 U B D B' R U2,D B2 D' B' U2 B D U B2 D',D B' F' U' L' U L B F D',R' B D2 B' R U2 R' B D2 B' R U2,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L' U F' R,D F D' U2 L U2 F2 R,U2 B' F2 L' B2 L F2 U' B U',L F' D2 L D' L' B' L B D' F L',R' F2 R' B2 R F2 R' B2 R2,44
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F L2 R' B' R2 F,B2 R2 D' R2 B2 U' F' L2,B R U R B' U2 R2 U B' R' U,F U' B R' U' R U R B' F' U,L' U2 L' D' L U2 L' D L2,45
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 D2 R B L' R2,L' F2 L F' L F' L,U2 R' U R D B' D' U' L U2 L',L F2 D R' D' R D' F D F L',L2 D' L U2 L' D L U2 L,44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U' R2 D' R' B',B2 F2 R B' D' U F U' B',R B2 R' B U' B D U' B' D' U,B2 U' F2 D R D' R' F' R2 F' U B2,B' R U2 R' B R B' U2 B R',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L' D2 U' B' R,F D' L D F2 L U2 R' U2,R2 B2 U2 B2 U2 R' B2 R2 U2 R,F2 D L2 F' D' F D L D' L D' F2,R' B D2 B' R U2 R' B D2 B' R U2,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' R2 D' B,B2 R B2 F2 L' F2,U R' B2 L2 F' L' F L' R B2 U',F D' F D' L' D F' D F',L2 F' D2 B D' F' D2 B' D2 F D' L2 F,43
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' D' B R2,B2 L B' F2 D' U' B' F L' F2,B' D B R' U2 R B D' B' U2,D' L2 D' L2 D F' L' F' D F2,L2 D' L2 D F' L2 U L2 U' F2 D F' D',47
