scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R B2 L' F' D2,R2 F' D2 U2 B' L2 D2 U2,U2 L2 U' L' U L U L2 U2,U2 F R' F R F2 U2 B L B',U B U' B F' L B' L' B' F,42
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 F' R B' D' R2,L2 B' F2 R2 B U L2 U' R2,L2 F2 L F L F2 L' F' L F',B' L2 B2 L B L B L2 D' B' D,L2 B2 U' B' F R' F2 D2 F2 R B F' U B2,50
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B2 R' D2 B F,B' D F2 D R2 B L2 U2 F' R2,D2 R B' R' F R2 B F' R' D2,R U R' B' R U' L' R' U' L U B L,U B U' B' F' L2 B2 L B' L' B' L2 F,51
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 B' U' B' L U2,L2 U B' L' B U' F2 L B L,B' D L F2 L' R U R' D' B,D' L2 D L D' B L2 U' L' D F' L2 F U,R' U2 R B F' U' L2 U B' F,50
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F L' R D,R D L2 D2 U L2 D R' B2,D2 R2 B U' R2 D2 L F L',D' L' B' L D' B U B' D B' U' B2 D,U B U' B F' L B' L' B' F,45
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R2 D2 U' B' D',D B' R' U' B D R B2 D2,L2 U' F U F' D F D' U L2 U',L2 F U2 F D2 B' R' B' R' D' R' D' F2 U2,L D' U B2 D U' L,46
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,F D F D U',D L2 U2 F U R U L2 D',U' F' D' U2 B2 D L2 U' L2 F,U B U' L U B2 U' F2 R2 B R2 F2 L',B R2 F2 U' F2 R2 B2 D' B,46
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F D U B2 U2,R2 U2 F2 U2 F L F R2,D' R2 U2 B R2 D U B2 U',B D2 F2 R2 U R' F R' F D2 L2 B' L2,B' R2 F2 U L2 F2 R2 D B',44
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R2 D' L F D2 B U,B L' D2 U2 F2 U2 B D2 L B2,U' B2 D' U2 L' B2 L B' U' R2 D,U' B D' B' U B2 D B2 D' L' B L D,R' U2 R B F' U' L2 U B' F,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' B' L2 D' L2,R2 D F D2 L' D F' R2,D2 U B U' R2 B R2 U2 B' R' D2 U2,D' R' U R U2 R' B' U2 B U' R U B2 D,U B U' B' F' L2 B2 L B' L' B' L2 F,52
