scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U R B' L2 B' L,L R' U' F L' U F2 U2,B2 R B D' R' D R2 B' R' B2,R2 B D F' R2 B' F D L' D L R2,F D L B F' D2 B' F L D' F',47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U L' F' D' B U,L D' U2 L D F L2 U F,D' L2 F L2 B L B' L F' L2 D,F L F2 R2 F L2 B' D2 F U2 B L' F',F2 L' B F' D F' D' B' F L F',50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B' D2 U F D',L2 U F R' U' F' L2,R2 B2 D' R' B' D' B D R' B2 R2,B2 R2 B' D B D R' D R D2 R B2,R' D R D2 U2 L' D' L D2 U2,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F' R' D R2 B',R U2 R2 F L U' F' L' U2 F,R2 B2 D2 R' D' B' L B' L' R2,R' B D2 R' D2 R D2 R' D' R D B' R,R2 B L' R D2 L R' B R2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B L' R' U B' R2,U F L2 F2 L R' U L2 F L',B2 R' D' R D B' U' B' U R,R2 D L' F' R' D' F L B' R' B R B R2,R F' U' B' U B F R2 B2 R' B R B R,54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F2 D L2 B,B' L2 R' B L2 U B U2 R,R2 B' R2 B' L' D2 L B2 R,B' L2 F' U F L2 B2 D R' D' R D B',R' D R D2 U2 L' D' L D2 U2,46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L F U L2 D',R' U F U F2 L U R' F L',R D' R' U R' D' R2 U' B2 D,R2 U L' R' F2 L B' R' D2 R B R U' R2,R2 B' L' R D2 L R' B' R2,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R' D' B2 F' L' B2,R' B L2 F' D B' L2 R' F2 U',B D B2 D' B' L' D' L B2,D2 F' U B L F' L B' F2 U2 F' U F D2,R2 B' L' R D2 L R' B' R2,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D F2 L F2 U B,L D' L D R F L2 F R',R U' B U2 R2 U' R2 U' B2 U B,R B' R' B2 D B' D' B2 R B R2 D' R D R,R2 B' L' R D2 L R' B' R2,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F' U L R2 F2 D',U' R' U' R2 B' F R U B F2,D L' D L2 U' L U L2 D2 B2,B2 U' B U R' U2 B R' B R B2 U2 B R B,L D2 R' B' L' B L R D2 L2 D' L D,54
