scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R F' D2 B' D' F',L' B2 U L' U R' U2 R,D' B R' B2 R' D' R D2 B,B2 U F' L' B L2 B' F L U2 L' U B2,,36
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 L' F' D R2,B L' B L U' B',L B L' D2 F2 U F U' F D2,R2 D' R2 D R' B R' F' U' F R B' R,R2 B U' B2 D B2 U B D' B2 U R2 U',47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 R' U2 B' D R,D2 U' B' R2 B R' F' D2 B,U B D L D R2 D' L' D' B' U',U' R D L R' B2 L' U R D R',B2 F2 L R B' L' B R' B2 L B' L' F2,50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L U2 R F' R2,U' B2 L B L U,L B U2 B D2 F2 D2 B' U2 B L',R2 B' D2 B2 R2 F' R2 U F R2 B' D',U2 R2 B' U B F2 D' B' F' D2 F' U' B U2,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D' U2 R2 B R D',B' U2 L' D2 F' R2 D2 L2 B2,D2 F' R2 D' F L D2 B R D L',R B R' F' U2 F R2 B' R2,R2 B2 U F U F L2 D2 F D' F U B2 U,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' D2 U' B R2,L' D2 R2 U' F2 R F' D2,L B D' R2 D B2 D' R D B2 L',F2 D' B R' F' U2 F R2 B' R' D F2,R B R' U R' U' R2 B' R F D' F' R2,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' D U L B2 R2,L' B' L2 B' U2 B2 L B',D' R' B2 F' U' B U2 B' U2 F D B,L' B' L' B U B L2 U' B2 L2 U2 B' U B',B2 F2 L R B' L' B R' B2 L B' L' F2,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L2 F L' D L,L D L' D2 R' B' D U' B',L D2 R2 B' R' B R' D2 L',D U B U B F' L' B' L' B' F D',R2 B2 U F U F L2 D2 F D' F U B2 U,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' U R' D2 F L' D,U L D F' U2 L' D' B',D2 R2 D2 L B' D' R' D B' L',R2 F2 D' L B D B' L2 F L F R2,U2 R2 B' U B F2 D' B' F' D2 F' U' B U2,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 B' U R',D2 U' F' U' R D2 U2 B2,D2 R D R2 U B R2 B' U' R D,B2 L B L2 U B' U' L U B U' L B,R2 B2 U F U F L2 D2 F D' F U B2 U,50
