scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F U B D L' U,L F' U F U B2 U2 L' R,L2 D' B2 D L U' L F2 R2 F2 U,F2 D' U' F D F' D R2 D2 U F D,D L2 R2 U' B' U L2 R2 D' F,48
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L' D' L R2 B',D' B U2 R2 U B2 D B D,R F2 U' F2 R B' F' R B U R F,B2 R' B2 R' F R' B2 F' R2 B2 R',U' B' D' R' D B U F R F',47
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L B U L2 B D,D2 R2 B R' D2 U2 R D2 B' D,R2 U' F2 U L F2 R2 F' L' F,D' U' L D R' D' F' R' F L' R D U,D' L R' B D' B' L' R D F,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' B D' B2 R' D,R2 U L' D' B2 F L2 U' L',R' B U' B' R F2 U' F2 R U,F2 D R' U2 R2 D' R U F2 U R2 F2,U' B' D' R' D B U F R F',47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F U2 L' F' D2,B' F2 L D F2 D2 B D R2,D' F2 D2 R2 B U' B' R2 D' U' F' U,B2 F L2 R F R' F2 R F' L2 R' B2 F',U' B' D' R' D B U F R F',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B' D2 F2 L U F',L' B2 L' D L' B L' D' U R2,F2 U2 R2 U R2 U F R F2 R' F',U' F' L F2 R F2 L' F R' U2 R U',F R' F' U' B' D' R D B U,49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,D B' L F' R' B',B U2 B U' B2 D R',U' R U2 F' R U R' F U',F' R F R' D B' D B D2 R2 F' R2 F,F R' F' U' B' D' R D B U,45
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B R' B L',B2 L2 B' R' B L2 B2 D',F' R U2 F' U2 F U2 R' F,R2 B D' L2 D B' U2 F2 U' F' U2 F2 R2,R' U B2 F2 D' L D B2 F2 U',45
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R' F' L2 F2,R2 B' D2 B2 U' B' L2 D L2,U2 B2 D R' D' R B2 U R2 U,F2 R F U' B L' B2 D B2 L B' U F,D' L R' B D' B' L' R D F,46
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U R' B R2 D F,B D R D2 R2 D R2 D B',R' B F R F U2 F' R' B' F' R,D' L2 D2 L' R D2 R F' R' F2 L' F R' D,F2 R F' R' F' R2 B U F U' B' F' R2,53
