scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L D B' F2 D L',B R' D' U' R2 D B2 R,L' B' L D' R' U' R D,B2 L2 D B' D2 F L2 F U' R2 F' U' F',U B2 U' L U B2 D2 R D R' D U',47
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B U' B2 F2 L2 R,L F2 U' F2 R F' L' R',R' D U2 L' B' U2 B U L D' R,B D F U' F' L2 D' B2 D L2 D' B',B' U' B' U2 R2 D' F' D R2 U' B2,48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 B D2 U R2 B D,F2 R' B U2 B' U2 R F2,B' D U' L2 B' U B D' U B',D' R U2 R F2 U2 R U2 F2 R2 D U2,L' D B D' B R2 F' U F R2 B2 L,49
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' L2 D' U R2 F,R U2 B L U F2 L' B,L B' D' F R B2 R' B' F' D L',D' R2 B' D' F' D R2 F' R2 B U2 F2 R2 D,B' U' B' U2 R2 D' F' D R2 U' B2,50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R D2 B' D F2 R,R2 B L' B D L2 F2 L',F R2 D' U2 R' D R' U2 R2 U2 F',D2 R U2 R2 F' R F R U2 R' D2,,36
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L B2 R' D2 L',U B2 U2 R2 D F' L' R2 B' D,U B2 U2 B U' B2 U B' U B2,L F R' U' R U' L' B2 L U2 F' L',U B2 U' L U B2 D2 R D R' D U',49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F D L' B' D' L' R2,D2 U' R B R' D2,B2 U' B R D L' D' B R',L2 U F2 D' F' D2 F' U' B R2 B' L2,L D L' D2 L2 D U B D' B' U' L2 D,47
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F L' B' D' U' L' F2,R2 U L' B2 D2 B2 L U2 R2,L U' B U B' L2 B' L U2,B D' R' F U' F' R F U F' D B',D2 L2 D R' B2 R D' L2 D2 U' B' L2 B U,51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B D' F2 R,D B F' R' D B' F L',L' B' L D' F R F' D U',F U R2 B2 R2 F R U R' U' B' F2 U2 B,L' D B D' B R2 F' U F R2 B2 L,48
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B R U' R' D2 L',L D2 R2 U2 L' U2 F2 R2,U2 L B L' B' L' B' U' B2 U2,R' F2 U2 F U2 F' L' R2 U B' R' U L F2,L D L' D2 L2 D U B D' B' U' L2 D,51
