scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B' U F' L2 F D2,D2 L' R D L B' R2 D R,D2 U L2 D F' U' F2 R' F R D,F R B R D L2 R2 U' L2 R B' R' F',R' B' F D B2 D' B F' R B2,49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' F2 L B U2,D U' B2 F' U F U F',B' D L2 R2 B R2 F L2 F' D' B,U' L' B' R2 D' U F2 R B D,B L' R D' R2 D L R' B' R2,44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' U2 L2 U' F,L F' R U2 R' U' F L',F D2 B' U B2 D F R F2 R B' L2,U' B' D' B D' U R' U F D2 U',,36
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' L2 F U' R2 B2,L' R2 D' L R B' R2 B,F' R' U2 R D' B2 R' U2 R F L,U2 R B' L B' F U' B2 F' R' U2,R' B' F D B2 D' B F' R B2,46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U B R2 D F2,D2 U R' D2 U' B R' D,F U' B2 R D' R' D B2 U F',L2 D2 R U' F D2 U2 B' U L' U2 L2,R2 B2 R' B' F D B2 D' B F' R',46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' L2 D L F,L' U B U' B' F L F',F2 D' R' D2 B R B' D R' D' R' F2,L2 U' B' L2 D2 R2 D U B2 U2 R D L2,R' B' F D B2 D' B F' R B2,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U F U2 B' U2 L',D2 F D2 L' U2 F' L2 B2 L',R D U2 L' U2 L D2 R2 D' L' D2,U' B' D' R B' U2 L' D2 F2 U' R' F' D',B L' R D' R2 D L R' B' R2,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R U L' F,F2 R2 B R B' F2 R2 D,D2 R' D L2 B R' B' L2 D F2 R' F2,R' B2 R B' F D' B' F' R,B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L B D' L F2 D',B2 R D' L B L' B2 R2,F' R' D R2 U' R' B2 U R' F R',F2 U2 L2 D U' F D2 L2 D' U' R' D2,B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L B' U' L B2 U',R D' L' B' R2 D' B L D2,U2 L' B' L' U2 F' D' F D2 R2 F' D2,D2 R2 D U' B D U' L D L D2 U2 R' D,B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,55
