scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 B F2 D2 F',D' L' U' L' U' L2 F2,F R' U2 F2 D F2 D' F U2 R F',B' F2 L2 D2 B' D2 B L2 R' B R F2,U2 L' F' L D2 R' B R D2 L2 F L2 U2,48
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D R' B' L D,D F R F U' R2 D2 U,L2 D' L2 U' L' F' L' R2 D L2 R2 D,R U2 R B2 U2 L' D L' D' L' U2 L' B2 R2,R B' R' U' R B R' U2 B' U' B U',52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' U B2 L2 B' U',B' R' F' D' F2 D2 B R' D',R2 F' D2 R' F2 D2 F2 R' D2 F' R2,L F2 D2 L' R F' L' D2 L F' U2 R' B2,B' L2 B D2 F' D B D2 F D2 B' D L2,52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' D U' F' D',D2 R F' L D R' B2 L' D',F' R2 B2 F2 D B2 R B' F' R' D2 B,B U L U L' B' D B2 U2 R B R' B2 D',B' L2 B D2 F' D B D2 F D2 B' D L2,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D2 L' F' D L,D' R2 D2 F R2 D R' F D2,R2 B2 F D B D R' F' R B,R2 B' R2 D' R U' R' D R2 U B R2,L2 B' U' B U2 F' L2 F L2 U' B L2 B',49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B U F' U L' F2,F D2 R U F R D2 U' F',R' U F' L' R U' F L B2 L' B2 R2,R D2 F' U' F R' F R F' D2 U R',R B' R' U' R B R' U2 B' U' B U',51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R' D L' F U,F D' L D2 B L2 R2 U L D',R' F2 L2 D B D' L R2 F' R' U2 L,R2 D' B2 U B' U B U2 B' U B' D R2,U2 L' F' L D2 R' B R D2 L2 F L2 U2,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F2 D B' L D' B',D2 L2 B2 L' D B' D' L',R B F U' L U' L2 F' U2 B' R' F',F2 L' D B D2 B' D B D B' L F2,D2 L F R' D2 L B' L' D2 R2 F' L' R' D2,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B' L2 D F U L',L2 U' R B2 L U2 L' U L2,R D' B L2 U L2 B' D R',L R2 F2 U R U' R2 F' R F' L' U' R2,U2 L U L' U2 B U B2 L' B' L B2 U' B',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F U' B F R' F',R' B' D2 U2 L' U2 F2 D2 B,F2 L' F2 U' F R' F2 L F R,R' B U2 R2 U' R2 B2 D' B U2 B' R D B,U' R2 D2 B' D' L B' L2 B L' B D' R2 U F',54
