scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B D' U2 L F2,R D R U2 B U L' R2 B',U' R' D' R F U' L2 U L2 U2,R D2 R F L2 R2 B' L' B2 L',L D' L B2 L2 B2 L2 B2 L D L',45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R B F U,D F' L2 D L B2 L F D',R2 U R' F' L' B2 U' L F R' U2,D R F' R' U B' R2 B D' F' U2 F U',L2 F U L F U2 F' U' L' F',48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 D' F2 R2 B,D' U2 F2 L' U' L D R' U2,D2 U' L D' L' U R F R' D2,L2 F U L D' L U' L' D2 F' D' F' L,U' B2 R2 F2 D' F2 R2 B2,45
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' L2 U' F' U',R2 F U' R2 F2 L2 D B' L2,R D' R D U' R F2 U F2 D' R2,L' F' L2 U' F2 R' B D' B' L R U F,R' U2 L U L U' L2 U2 L R B L' B',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D R F2 D2 R2,R2 B2 F2 D L' U' B2 D U,F2 L F U' F U' R U' B U2 R' U,L' B D2 R U L' U' F2 R' B' L2,B F' R' D' R B' F D' L D,47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 R' U F2 R B',R F U R2 U' L R D' L',U F U R U' L2 B' L2 U' R',D2 R' B2 R2 D' F' R U' R2 D B' D2,F2 L D U' F2 D' U L F2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,R B2 U' B2 L' R',B' U L B U' L' D' B F,U' F' D' F' R' D' R U R F' R',L' F' L F' L2 F2 L F L' F' L2 F2 L2,F' L2 R2 B D L' B' L2 R2 F L U',51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 R2 F D L U2 F',U2 B R2 F U2 F2 L' B' F2 D2,L2 D' F D R F' U' L2 R' D,U2 L B2 R D' R' B2 R2 D' L' D R2 U2,L F L' U F2 R B' R D B R2 F,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 F2 D L U2 F',B' L' F' D' F D2 L2 B F,U L2 U' R' B D2 B' L2 D R2 U R',B R2 F R2 B' R' F' L B2 L' F R D2,L2 B L D F L2 F' L' D' B',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' B' L' U R,R D F U2 F2 D2 R' F' D F2,R U' R2 D' L' R' B L' R2 D' L2 D,F2 L' U F U2 L' U L F' L' U' L2 F',B L F2 D2 F2 R2 B' F U B2 R2 B2 D2 F',54
