scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B2 R' U L B',R2 F' R' D F2 D F2 R',B' F' D B' D2 B D' B F,R B2 L' F L F' L D L' D' B2 R',R2 F' D L2 D' F R2 F' D L2 D' F,46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 U' F D L U2,L F2 U2 F2 D' U2 L' D,D' F D F' D U2 R D' R' U2,B2 R U' F' D2 F L' D' L2 D' U R',R2 F' D L2 D' F R2 F' D L2 D' F,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' U L' U2 B D' B',F D B' R D F R' B D' F2,B U' L' D2 L F L' D' F' L' D' U,B' U' R' B2 R' F' R' F R2 B2 R U B,R U' L D2 L U R U F2 U' R2 B2 D,55
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U L F' L2 D R2,F U2 R' D2 R' F R2 U2,L D2 F' U' R2 U F D2 L',B L' B2 U2 R2 B D B' R2 U2 B2 L B',L2 F' D R' F D' L2 R2 U B' R U' B R2,50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R' U' F L' R2,L F2 U2 F2 D' B' U2 L' D,L' U' B' D L D F2 D2 B U L,D' L' U F' D' F U' L D2 L' D' L,D' R U2 F' L F U2 B2 R B R' B R' D,51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U2 L D' F' L D,D2 R F U' R2 U R D2 F,B2 R' D R D F' D' B2 F' R2 F2 R2,U R F U L2 B L U B U2 L F' R' U',D' R U2 F' L F U2 B2 R B R' B R' D,55
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F2 R2 F U' L B2,D' L B2 L2 R U L R' D,B U' L' D U L' U' F' D' U L,B2 L B2 L' B' U' L2 B2 D' B' D B2 L' U,B R' F2 U L' U' F2 D2 R' D' R D' R B',54
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D B' L R2 U R2,F L B D' B L' D,B' F2 R' F' D2 R2 U' B2 U' B' U2 R' B,U2 L F' L D L' D' F' L R' D2 L2 R U2,R' F L' B2 L' F' R' F' U2 F R2 D2 B',53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B L B' R' D' R2,D L' U2 F2 U' L' R U' L2 D',B2 D L D' R' B L' D' B' R B2,F U L F R' F' D' F' L' R2 F U' F' R',D B D' F2 U L' U' F2 D2 R' D' R B' D',55
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 B U' B2 F2 R,D2 L' U2 F2 U R' U L F',R' F' R B2 D L' D L B2 F R,U' R2 F' R2 U2 F L' R B2 R' B L U2 F' U',D B D' F2 U L' U' F2 D2 R' D' R B' D',55
