scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 L R D2,F' U' B2 R F U' B2 U2,B L2 F' L' U2 R U2 F L2 B' L,L' D2 R F' R' F R F' R' F D2 L,,35
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 B' D B' R F2,B2 U' R F' R2 F U2 R' B2,R' F' R' F2 U' F' U' R' U2 F' R2,D' R2 B2 U B2 U B2 U' R D' R D2,F2 L' B F' D F D' B' F L F,49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B' F L2 U' B' R,B2 D U2 R U2 R D' U' B2,F U' F' D2 B F D' B' D' U F',L' D2 F2 D' F2 L B R' D R B' D',F2 D2 R2 U2 B' U2 R2 D2 F,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R D B D' L',B2 R' F R2 F2 R U' B2 F,U2 B2 U2 R' B' L2 R D2 L D B' L,B' U' B' R' B' R B U2 R U' B2,,37
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 D F' R' B D,F R D2 B R2 B' F' R2 D2 R',B2 R U L F' R' U2 L' R2 B2 R',D B D L' F' L F2 D' B' D F2 D2,L' U2 R B L B' L' R' U2 L2 U L' U',52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F L2 R D2 B2,B' D U' R' D' R U2 B,U R2 F U' L F D2 L2 B2 U L F',D2 R' D R' D B D' B' D' R2 D2,R F' U' B' U B F R2 B2 R' B R B R,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B U R F' D' U2,U2 R2 D2 F L' D2 R2 B F',U' L2 R F R' D' F' D F L2 U,L2 D2 F D' L' F' L F D' L2,F' L' B F' D F' D' B' F L F2,47
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 R' B' F' U' B',B2 U2 B' F2 U F2 U' R2 B',D' F2 L' F' U' B D B' U F' D,F2 D2 F D' B2 R' U2 L U2 B2 R D' F,L' R' D' R2 F2 R2 D' L R D2,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U2 R B2 L' B,R F2 R2 B R U2 R B' R' F',F' U2 F R2 D2 L2 U B D2 R2 F,B' L2 U L' U L' B2 R D2 R D2 R2 B',F2 D2 R2 U2 B' U2 R2 D2 F,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' D' F2 U B',F2 L' U2 L U F2 U,D' U B' L U' L2 B F' R2 B L B2 R2,D' B U' F' R B R' B' F D U B',F2 L' B F' D F D' B' F L F,49
