scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U B' D2 L' B D' R2,L F' U' F2 U2 L' U',F R' U2 R D2 B2 D' B D' R2 U2 R2 F',F D2 B L2 U F' R2 F U' L2 B' F',F' D L2 D' F R2 F' D L2 D' F R2,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' L F D R2 B',F' D' F' L F2 D L F' L F,D L' D2 L D2 L' D U2 R U2,R2 U' B' U B R2 B2 R' B R B,U2 B2 U B U' B L' B' U' L U B L U2,51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' R' U L B' U2,L2 F L2 R D F2 R' F2 D',F' L2 B F' D' F' D' L' F' L B' F',B F2 U2 R B2 L B2 R' B2 F2 D2 B R,F' D2 B2 D B' D' B' D2 F L B L' B',53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U F2 L' D' R2 B,D R D2 F' L' D L2 R',B2 L' U2 L' D2 L R D2 U2 B2,R B' R' U2 F2 L F' D2 F' U2 B' R B',F' D L2 D' F R2 F' D L2 D' F R2,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L R B' U F2 R2,L D' F2 U L' U B' D U2,U2 B2 F' R B' D' R' F R B' U2,D2 B2 D R2 D B2 D2 B2 D' R2 D,F' D L2 D' F R2 F' D L2 D' F R2,49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' F R U2 B,U' R U2 L' D' L' D L2 U',U' B' R2 U2 B2 D' F' L B' U' L F',B' F2 L B' L' D' B' D B2 F2,U2 L' D L U2 F2 U2 B L B' L' U2 F2 D',50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F2 D F',D' B2 F L F L B2 D,F R D' F L' D F' R' F',F' R2 F2 D' F' D2 B U R2 U' B' D' R2,B F R' B' F2 L B F L2 F R B' U2 F',47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R B' R B' L2 U,B D B2 D' B,L B2 L' B2 U' R2 D F' U' B2 D' U2,D2 L' B' D2 B L B' D2 B D2,D R B L' B' L2 U2 R' F' R U2 L' R' D',47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' R D',B' D' B D' F2 D L F' L F,F2 R' B2 D U L2 B' R2 D U R',R2 B R' F' U2 R' U2 R U2 B' F,U2 L' D L U2 F2 U2 B L B' L' U2 F2 D',49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F' R' D' L B D' R2,B D' B L B' D R2 U2 R2 B',F' U' B2 F' U B2 U' L' B2 F2 R',F R D' R2 B' R D2 L B2 L' B D' F',F D2 L' D' L D' F L' F' D' F L F2,54
