scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 F' L' B2 F2,L' R U' R2 B' D L F R,R2 U' F L U L F' L2 U R2,B' D' F2 L' U' B' U B L U F2 D B,L U' L2 B2 R2 D' R2 B2 L,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 U' B2 D L' B',B' R2 U' B' U2 F U' R2 B2,L' B' L' B2 F2 R2 B2 F2 L B L,U F L U' L' U2 B D B D' B2 U' F' U',L U' L2 B2 R2 D' R2 B2 L,49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F' R' U F' D L2,D' U R' F D L R F' L',D R U' B2 L2 B L2 B U R' D',L' R2 D2 R' D' R D' L B' F' U2 B F R2,B D2 B' L' R D F2 D' L R',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R D L B D L',R' F' R B2 U' R2 F R2 B2,L D' F L D L2 D' F2 D F,L2 R2 D B F' U F U' B' D' F L2 R2,L' B2 R2 U F2 R2 B2 D L',47
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D R D U B F,L2 U F U' L' U L F2 L2,L2 B2 F' R B' U F U' F D' B' L2,B' D2 B2 D L2 D2 B2 D' R2 U2 F2 U R2 B,,41
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B L2 F L' R2,U2 B' U B2 F D R' D' B' U2,B F' U2 L' F2 L R2 F R B' D2 F2 R2,L U2 L2 B' R' B' R2 D2 R' D' B2 L U2,,41
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' D' B U R F',F2 L' U' B' F2 R' B' D2 B2,R2 B2 F' R2 B2 F R2,B D2 F' U2 B R B' U2 B' F2 L F',,34
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L B2 F' L D' B D,B D L B2 R2 B2 D' B' U',B F' L2 B2 D F L2 D L2 D' B U2,L2 R2 F2 R U2 B L' B' U2 L2 R,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,53
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D U R' B,R F2 U B' U F R' U' F,F' D' B' R' F R U2 B L F2 L' D,B D' F' U' B R' B' F' U L F' L' B' L2 F',F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,55
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 B' U R U',D U L' D B' D2 R2 B' F' R2,R2 B2 L' B U' B' L' F2 L2 B2,F L B D R' B2 R F' R' B D' B R D2 B',L D2 R' B' L' B L R D2 L2 D' L D,53
