scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D' R2 U F L U2,B2 F' U R' U B' R2 B',B' L' R2 U2 B' D2 B U2 L R2 B,L2 F D2 F' L B R2 B' L,D' U B L2 B' D U' L F2 L',44
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B' D' L' B2 U' F',D' L2 B' R' B D F U,U2 L' U2 L2 F' R' D F L' R,D' L2 F L' B' U2 B2 L' F' L B' D,U F L' R U2 L R' F U',45
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,D L' R2 B' U L' B',B D R2 B' L' R' B' D' R F',B' D2 B D2 R' B U R2 U F' U2 B',L' B' R U R2 U' R2 B L F' U F,U F' L' R U2 L R' F' U',50
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,R' D' U F' D' U2,D L' R2 U' R B D' B' R,U L2 D L U' L F2 L2 D' L2,R U R' B' F' R' F' R F2 R B F' U',D' U B L2 B' D U' L F2 L',48
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,U' B2 F' U2 B R D,U' L' U2 B' L R2 B U2 F,F2 L' B2 R U2 R' U' B2 L F2,F L' B' R2 B L2 F2 U F' U' F' L' F' U2,R B2 D2 F2 L D2 B2 U2,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,B' L' R2 D' B U2,L' F' R' D R' B' R D R,L R2 B R U2 F U2 B' R F2 L' F2,B' R2 B F U' F L' B L' B R B2 L2 F2,D' U B L2 B' D U' L F2 L',51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,F' U' L2 B R2 B,B2 F U' F U2 R2 U' B2,F' R F2 L' R' B R2 B2 U2 B L F,B2 D B U2 B2 L' B L D L' D2 B U2 B,D L F2 L' D' U B L2 B' U',50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R2 D2 R B L' B,F2 U' B' L2 F L2 R B F,L2 D B R' F' R' F D2 R B' D' L2,B' F' U F2 R B' R' B F' R' U' B U,B D U' L' F L D' U B' L',50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R' U2 L' F D' B F2,D B D2 F R2 D R B',F2 L D' F2 D' F2 D2 L' F2,B' R D2 U F U' L D' L' D2 R' D B R',R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F' D B2 L',B2 L' B2 L B' R2 F2 R2 B',D R D' L2 D' L' F2 R2 F' L' F',R2 U2 R' D' F L D F' R' D' L' D U2 R',D' U' L2 U2 L U' L' U' L2 D F U F',51
