scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R D' B L2 F2 U,B U2 F' D2 F R2 D2 U2 B2,B' D' U' F D F' R U B F',R' U2 R D R2 U R' D' F2 R2 U R,,37
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U' F D2 F L' U',B' L' F L2 R' B' D2 U L' R,L' B2 U' B R B' R U B2 L,B' D' F D F R' D R D' B F',F' L' D F' D' F2 U B L D' B D B2 U',51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F' L' F D U2,R' D' F' R2 D F R F D2,R' F' D U2 R' D' U2 F R2 U R',L2 D L' D' L' B2 L' R2 U L U R2 B2,D2 F' D' F D F2 R2 B U B' R2 F2 D2,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F' R' B D' B2 U,B R D2 U' R2 D' B R D,U' F L' U L F' U2 F' U2,B' R F R B U B' R D R D' B F',L2 U' L U L2 D' U' L U L' D,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L B' R' B' L2,B2 L F' D' U R U' B,L' U2 L U' F2 R2 B' R' B R',R F R2 F R2 F R2 F2 R2 F R',F2 R F R' F D2 B' L B D2,44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R' F2 L D R',B D' U2 F2 D2 R' U2 B F L',B' F U' R' F U L' U L U' B,L2 B2 D' R D R' D B' D' B' L2,L2 U' L U L2 D' U' L U L' D,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 L2 R U2 B',D' F2 D2 F U' R U2 L2 U',U B' R' B L' U2 L2 F' L' U,B' R F2 D R2 U' R2 D' R U R2 B,F' L' D F' D' F2 U B L D' B D B2 U',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' D' B2 L B' U,B2 U R2 B' D R B' L R' U',L F' L' B' U F U' R2 B U F',R' U2 F2 R' B' R B R F2 U2 R,L2 B L2 B' U L2 F' L2 F U2 B' U B,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U2 R2 U' B U,B D L2 D F' R' B U' L R,R U' L F' L' R' U2 R2 U R2 U,B' R F2 D' B' L2 B D2 F' D' F' R' B,D' U' L2 U2 L U' L' U' L2 D F U F',52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 U F' L' R',L' D2 B L2 D B' R' B2 U' R,D' L U' L' U F' L' R U R' D,B D' U' F' D R2 F R F R F2 R2 U B',D L' D2 B D' F' R' D R B' D' F D2,53
