scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L U2 R D2,D L D' U2 B F' U' F U2,R U L F' L' F' U2 B2 U F,D' F' R2 F D' L' F L D2 B R2 B',B2 D2 B' U' B D2 B' U B',44
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 B' R' B2 D2,D' B' D2 F' D B' U' L2 B2,B2 L' B L' R2 B2 L2 U R2 B F2,R2 D' R D R' D' R' D' L' F L D2 R2,D2 L' D R2 D' L D R2 D,47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F U R2 B2 L' D',R' F2 R B F2 U' B' F' R2,F D2 U2 L' D2 U2 B F' R2 U2 R2 U B',B F' U F R2 F' U' F R' B' R,U' B2 U' F2 U B2 U' F2 U2,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 L U' B2 L,R2 B2 L U' F U B2 R D2,D' B' F2 U B2 F2 D' B' D,R D' R' D' L2 B R U2 R' B' L2 D2 R,D' F' U F D F' U' F,44
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U B2 L' D B' D,R U B' D2 L2 D2 B' U',F U2 L F' L B L B2 D' L B,R U2 B U R' B R' B' R B2 D' U R D,U' F L2 F' U R2 U' F L2 F' U R2,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F R B2 U B' L',D2 B L' U' L B U B2 D2,D F2 R B2 R F2 L B2 L2 D',D' R2 U' F' R2 F U F' R F R' D,,38
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R B F2 D' U2 L,D' F2 U L F' D U' F',U' L R' F U' L' R B,R' B' L U L' U' B2 U B' D' R2 D R,B R2 B L B' R2 B L' B2,44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L F2 R2 B,D' F R2 B2 L B2 D R',F' D L D' U B' D' U' R D F,R2 F R2 D2 R F' U' R' F D' F' U R',,36
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' D2 F' L D B',R2 D' F D R' B2 U2 B2,U' R' B' L U' L2 R2 D L R' U,R2 U' B2 R' B' D B' D' R B2 R U,B2 D2 B' U' B D2 B' U B',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 B' L U' B' L2 F',B2 U' B2 D' F2 D,R B L2 B' D2 B L D2 L R' B,D2 F' D2 R' D' U F U2 R2 D' U F' D2,,37
