scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D2 U2 L B' U' B2,F2 L B U L2 F' L F',F R U2 B2 D' L F2 D B2 U2 F',B2 D2 L2 F L F' L D2 B2,U F' U' B U F U' B',43
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 F2 U L B2 U',B' D' L B' F' U F L' B,U2 R2 D R D' R2 U2,L' D2 L F' R2 B R B2 R F,R2 U' F L2 F' U R2 U' F L2 F' U,44
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B F D R2 U,B2 D R B' R D' B',L' R2 B L2 F' L2 B R' B2 L U2,B2 F' R' B U' L' B L U R B F,B2 D2 B' U' B D2 B' U B',44
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 R' B' L2 U B2,D' R2 B' F2 L B' L' F2,R' F' D2 B2 D' B2 R' D2 F D R,D R2 U R2 B R' B' U' R2 D' R',U F' R2 F U' F' U R2 U' F,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U L' U B' L' U2,L' D L D2 R2 B D R',U R2 U2 F2 R2 F2 R2 U' F2 U2,F' R2 B' R2 F D' B' D2 B D B,R2 F' R2 F D' R2 B R2 B' D2 F D' F',48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' U F' U2 B2 R' U,F D' F' D' R2 B2 R',D R D' B' R' B D R' D',F2 U2 R' U2 F2 D2 B2 L' B2 D2,B U F' U' B' U F U',41
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 U B2 L' B' R' U2,D B R U L' D R2 F' L U',R' F' R2 F D R D',D2 B2 D2 R' B R B L' D2 L B,B R F' R2 B U2 B' U2 R B' R2 F R2,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F2 L' R' B' U' F,L B' R2 B F2 U B' F2 L' B2,R F' R U2 F R' U2 R U2 R2,D B2 D B U' L D L D' L' U B' D2,R2 U' F L2 F' U R2 U' F L2 F' U,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L D2 L U2 B' U',U' B2 D U R' D B',F L U' B2 D' B2 U L' F' R2,F' R' B' D' F' R' F D R' B R2 F,B' R F L' R' D2 L B2 R2 F' R B' R,48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 R B U' B2 F,R D' B2 D' B D2 R' B',U F2 L' B R2 U' R2 B' L F2 U',L2 U R B D U R U' R' D' B' U' L2,U F' R2 F U' F' U R2 U' F,48
