scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 F U L F U,D L' F L F' L D',R F2 L' R' F L2 B' L B L2 F,B' F R2 B R B' R2 F R' B F2,D2 R' U2 B2 D L D' B2 U R' U R2 D2,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R2 U2 L' F D,F2 D' B D F' D2 F' R B',R2 D R2 D2 B R2 B' D R D2 R,B' L D2 B R B' L' B R U F U' R2,D2 R' U2 B2 D L D' B2 U R' U R2 D2,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L D U2 L U',D2 U2 L' D2 U2 R',B' D2 R F' U2 L' U2 R' F' D2 B,F2 U R2 D' U' F D F2 U2 F' U2,R' F2 R D' B2 D R' F2 R D' B2 D,45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F' D2 L B2 R2 F',B' L' B L F D F' R2,D2 L R' D B R D B' D2 L' D2,F R' D2 R2 F R F' R D2 R F',D2 L2 B' L B L' B L2 D2 F R' U2 R F',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D U R' D B' U2,D U' B' U F2 L2 F2 D',U2 L D L' D U2 F D' F' D',B' R' B2 U' B' U' F U' F' R' U' R2,R' F2 R D' B2 D R' F2 R D' B2 D,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 D' R U' L B,F' D' B' U2 F L B,D' R' U R' D' L' R F2 L D2 U',F2 R D B R B' R' B D' F2 D B' D',,37
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 R2 B' U,R' F' U' L2 D2 F R2 U B' U2,U' B' L F2 L2 F' D' F' L' B U,B2 F' D' F D' B L D L' D2 B' D' B2,D' B2 D R' F2 R D' B2 D R' F2 R,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' F2 L2 F L2,F2 L' F D F' L2 F2 L',F' U2 B' R D R' D2 B U2 F,F2 R' U2 B' R' B U2 F R2 F2 L F' L',B R' U' L' U L R B2 L2 B' L B L B,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U B R' U B R' D2,R' F' L2 F R2 U2 B' L' U2 L,L D' R D L' R',F' U' L2 D U R D' U' L2 U R' F,B D2 U' B' L' B D2 F' R F' R' F2 U B',49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D F' R U' F' D',D2 R' D R D L,D L' F' L F L' F L D',R' F R D' R2 D R D' R D F' R,F U F U' R F D B2 U' B' U R' B' D' F,48
