scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' L' D2 B2 D2 L',U2 F' L2 B' L2 B D' L D,B' D' U2 R U R2 U R' D B2 U' B',L B' U' R' U R B U F' U' F L',F' R' F R B U2 F' U' F' U F2 U2 B',52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R2 B L D' L B,L R' B F L' B L' R D2,B2 R' B2 R U' R2 B2 R2 B2 R',L' F' D2 R2 U2 B' R2 D2 L',R' D' L' U' F' U L D R F,44
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B2 D2 L B D' L2,B' D2 B' R U R' D2 B F,B U' B' U2 B R U R' U' B',F L' U2 F' U' L2 U' F L2 U2 F' U L' F',F D B U R U' B' D' F' R',49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U F' U L2 F2 R',F' D' L' D2 F' L2 U2 F D',B2 L' B2 L B U2 B R B2 U R',L R2 B2 D L2 D' B R' B2 U' B' R' U2 L',R F D B U R' U' B' D' F',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L R2 F U R2 F2,F2 D' B' R U' B D' F D2,R U R2 B' D' L F' L' D B R U,U2 B' U2 R U F R F' R' U B U2,R' D' L' U' F' U L D R F,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U' B' R2 F' R' D',L2 F2 U' R2 B R F2 D' R,B2 U B F' U' B F U R2 B R2,B2 L2 R F' L' F L2 B' L B R' B2,R' U' B' D' F' R F D B U,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D' L' D2 B F',L B2 D' B2 U2 L2 D L,R2 U' B' U B2 U2 B2 U B U R2,U2 L2 F' L' U2 L' U2 L2 U F U' L2 U2,F' R' F R B U2 F' U' F' U F2 U2 B',51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' B2 L D U B' D2,B' L F U L2 F U2 B L',R B D2 U B' U' B D2 U2 B' R',L B' D' F R U' R2 U R' F' R2 D B L',F' R' D' L' U' F U L D R,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U2 F' R D' U' F' R2,R2 B L R2 F L',U R D U' R' U' R D' R',B D2 L' D' L2 D L2 D' B' D L D' L' D',F' R' D' L' U' F U L D R,46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B U L' B2 R,L' F2 R2 D B2 R2 F L',U' R' U L F' U2 F U2 L' U R,U R D' L' R B' R' B L B U B' D R' U',F' R' D' L' U' F U L D R,50
