scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' B' D' U' L' D,U' R2 B R U2 R2 U' R' B',F' R2 B F' R2 U2 F' R B' R' F',L2 B F2 U' F L2 F' U B' F2 U2 L2,B D2 F' R' B' R B F D2 B2 D' B D,51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B2 U2 B' D' F' R',D' R2 D' U2 F2 D2,D' F L F2 D2 R D F' R2 F2 L' D,R U' B R F U' R' F' L U L B' R2,B D2 R F' R F R2 D2 L B L' B',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F' U' R2 B D',R' D2 F D F2 D R,B D' F U2 F D B' D' F2 D,B D2 F2 L' U L U F2 D R' D R B' R',B D2 R F' R F R2 D2 L B L' B',48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 D L2 F' L,L' R B2 F U B' F2 L F R',B F' D F2 U' F2 D' R B' R' F,R B D' L2 B2 D' L2 D2 B2 L2 D' B R',B D' B' D U B' D' R' B' R D B U',52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' R' B2 R' D',L' U' B2 L' D L2 F D',R B' R D L' D' R' B R',B' D L' U F' L2 F L' D L' U' L D2 B,B D2 R F' R F R2 D2 L B L' B',48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F D2 L D' L2 B',D' U2 R' U2 L2 B' L2 D' F' D2,B F' R2 D2 R' D2 B2 D2 B D R' F,B' F D' B' R2 B D' L2 F' U2 B D2 R2,B D2 R F' R F R2 D2 L B L' B',53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F D' U R2 F L,L' R2 B L R2 B U' B' U2,F' D' R B' D' B D' R' D' F,B' D L' F U2 L' U' L' F U' F2 D' L B,B D2 R F' R F R2 D2 L B L' B',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B L' F' U L' R2,D2 F' U' B' F' R' B D2,D' F' R F L D2 F' R' F L' D,U2 L2 B' L' U F U F' L U2 B L' U2,B' L2 B D2 F' D B D2 F D2 B' D L2,51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 R' B2 F L' R2,R D' U2 R2 U2 F' D U R,D' F L F' L B D B' D L2 D,B U2 B2 U L' U' B' U B L B2 U2 B',D' B2 D B' D' B2 D B L R B' L' B R' B2,54
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U B R F2,R2 D2 B F2 L' R2 B' F,L' F' L' R2 D' L R2 F L,R2 U L' U' R2 B F U' B' F' R' U L U' R,D L' U2 B R2 U2 F' U' F2 R U' R B' U2 L,52
