scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' U2 F' U' R2 B2 L,L' B D2 R2 D2 B' L U2,B2 F D R2 D' R2 F' R2 B2,D' B2 D F D R F R' F' D2 B2 D,,36
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 F2 L2 D L',D U2 F U F2 L2 F D',B L F' L2 B' L' F L2 U2,L B' D2 F2 D2 B' R B' U2 B R' B2 L',D2 R2 U2 F' L2 U2 R2 B',43
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D F' D2 F2 R' B D',B2 L F L' B2 R2 B' R2,L' B D2 B R2 B2 L B2 R B2,U' L2 U R' D' L' D R U' F L2 U,F D2 R2 U2 B U2 R2 D2,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D F R D' R2 B',D2 F D2 B' L' B2 L B',L2 U F2 U' L2 U2 L U F' U L',U2 F2 U' F' U F' U2 R2 D R D' R,F L B D2 F' D' F' D F2 D2 B' F' L',50
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F2 R2 U' B' L',B R2 U2 R D2 F' L2 D2 B2,R2 D B D' L R2 U' F' L' U,R2 F2 D' U R2 D B' U' L' B' L B' F2 R2,L D2 R' B' L' B L R D2 L2 D' L D,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F2 L2 R F2,U2 L' F L' D2 F' D2 L U',U2 L U' B2 F' R D2 R' B2 U',U2 B' F2 U F U' F' R' F2 R B U2,D R F2 R' D' U F L2 F' U',46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' F D' U B2 D2,D2 F' D L' D2 L2 D' F,L D' B D' R' F D B' D' F' D2,D2 B2 R' U' L2 U2 L2 U R B2 D F2 D,D L' B F' D2 B' F L' D',47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' R' D' L2 B D,D' B L F' R2 B' L F D',R U B' U B U2 L2 R' F L2,B2 U B L2 B' D2 U2 R2 F' U F D2 B2 F',B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D' R2 B L' D2 B',R' F' D U' L D' F U R,L U' F' U' L' U2 B' F' U B F,D B2 U' B2 D F' U' L2 U F L2 D2 U,L D2 R' B' L' B L R D2 L2 D' L D,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B2 U2 B D' B R' D',R U R' B' L U2 L' B,F L U L' F' L F2 U' L F2 L2,L2 U2 F' L' F2 L F2 U2 R2 D' B D L2 R2,F L B D2 F' D' F' D F2 D2 B' F' L',53
