scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F D' B' F' L' R' F2,R B R F D2 R2 U L2 B U2,L2 B' R' U' R U B2 U' B' L2,B F' R' B' R D' B' D' B D F,L2 D' U B' D' B D U' L' D L',49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F D L U' F2,R F R' F U' F' D' B' L',F R B' F D' F' R B F' U',B L F2 L' F' R U F L F L' U R' B',B' R2 U2 L2 F U2 R2 D2 B2,47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B D' F2 L R,U' R2 D2 L' R' B L' R' U',R2 F D R' D B2 R D2 F' L R2,R2 B2 U F' U' F2 R' F R B2 F2 R2,L' R' U L2 F2 L2 U L R U2,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F2 D' U2 L2 F D2,F' D B2 D' R' F D,L' D R2 F L2 F' R B' U R B2,B F' R F' U R' F2 R2 U' L' U' L R2 B',B' R2 U2 L2 F U2 R2 D2 B2,47
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R' D L' F2 U2,D2 L D' F U' L U2 B F',L B U2 F' D F U2 B L B2 L2,B U' F' D2 B' L2 B D F' D F2 U B',L D' L D' U B' D B D U' L2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,F' U' B R2 U',D L F U2 L2 U F' D',D2 L' B U L D2 B2 L B2 U',D' F' R2 B U F' R2 F' R2 U' R2 B' D2 F,L D' L D' U B' D B D U' L2,48
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R D2 F' R2 D,B2 R' D2 L2 D' U2 R2 U R,B2 U F' L2 F' R2 B' D F2 U L2,R' B2 U2 L' U' F2 L' F2 L F2 U' B2 R,L2 D' U B' D' B D U' L' D L',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 R U' F2 R',R B' D L R' F' L D' F,D2 L' D' L2 B' R2 F' U2 R2 B D L,D' L2 B2 L' B R D2 L R2 U2 R B' L2 D,,40
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' U2 F U' F D2,F2 U' F L' D' B' D F D U,B' F U' R F2 D2 F2 R U B F',L' R2 D' L' B D F2 D2 R D B U B2 D R2,L' R' U L2 F2 L2 U L R U2,52
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 R' D' R2,R B' D U B' R U' R' B U',D' L B' L' D B' D B,B R U' F R' U' F2 U L R F' L' U R' B',F2 R' B F' U F U' B' F R F,48
