scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D B L2 U' R2,F' L2 B R' B2 U2 B D',B' U2 R U B D B' L U L' D',R2 B R F2 R' B' R F2 R,L D' U B' U' B L' D U' F L' U,46
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B F2 U' L' U2 F,R D' L R' D2 F' R2 F,R U2 F' L' U' B' F R B U' R',L' F D F' U' F2 D' F U L',F U L2 R2 D' B' D L2 R2 U',45
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' F L' U F U2,U B D' R D F D2 R' U',F2 L' D2 L R2 D F' D' R2 D2 F2,R' D2 L' U' R F2 R' U L2 D' L' R,F2 L2 F2 L' F D R F2 R' F' D' L,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' R' D' L2 F R,B D2 L2 R2 B L2 R' B' D',D U R2 D' B2 D R2 B2 U',L' F2 D' B D2 F' D2 B' D F2 L,L D2 B U2 L2 D2 F U2 L' R2,45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B L2 U' R B' F',L D U' B F2 D' U R',D' B D B' U2 R U' B2 D2 B' U',F' U L2 F U2 R2 D B D' R2 U,L2 D' L' D U' F D F D' U L,47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R D F2 D B,F' D B' F' L' U2 B F2,D' U2 B D' B' R D R2 D2 U' B2 U',L' B' U2 F' U' F2 R' F2 R U' B L,F U' L' R B U' B' L R' U,47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U L2 U2 F R2,B' L D2 B L D' L' R' D',U L' D' B' D' B D2 B2 D2 B2 L U',F' D2 R2 B U2 B' R2 D2 F,R' B' L' D' L B R F D F',45
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' D2 L R U' B',B' F L' B2 F2 R D' F D' B',U2 B' D' B2 R2 D' B' F D2 F' R U2,F' L B' L2 B D2 F' D2 L F,U' L' R B U B' L R' U F',48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F2 D L U F2,R B F' D R D' B' R2 F D,L F' D U2 B D' R' U2 F L',F2 L' F' D' L' D L F',R2 B' R D' B' F L D' B D B F' R,46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 U' F D' B2 F2,R2 F' D' B U2 F D B',D U2 R2 B D' R' D' B' D2 R2 D' U2,R U' R D' B2 D B2 R' U R2 D R,R F' R' B F' U' B F' L' B F' D' B R',52
