scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D B' D2 U' B2,U R2 B D' U R' D2 U2 B2 D',U L B2 R' B F' R U B U' L',R' D2 B' D' U R U2 B2 D' U R',L' F' D' U L2 D U' F' L,46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L F' D B',R D B2 D' R2 B' U R2 U',L B L' R F' R' D L2 D B' L2,B2 U' B R2 U2 R2 B D U B2 D' B2,D' F' U' F2 U L F U L2 U' L' D,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 U B' U L2 U2,L2 B D2 U L' F U B R',F2 L2 F2 R' D2 F2 L' F2 D2 R,U' L R' F L' R,U' F2 L2 B2 D B2 L2 F2 U2,40
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B2 L2 D' L' B' U',R' B2 D L2 F2 L2 R2 D R',B L' D L B2 R' B' R B2,R2 U2 B2 F R B F' U' B U2 R2,R2 B F' U' F U B' F R' F' R',46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B D2 L U' B2 L,L B' F2 L' R' D B2 R' U',F' L B' F U' R' B' R B2,B D' B F' R B R B' F D' B2,D2 B F' R D2 R' B' F D L2 D,46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 U F' R B2 L',R2 F R' F' L2 D' L2 U R',L2 F U' F U' F2 L' B L' D B',L' U' F' L2 F L U F U2 F',L F' D F L B R D' R' B' L2,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D' F2 D2 R D2,L' R' D' R' U2 L' D2 R' F2,F' U F L2 B2 D B2 U' F' L2,B2 D B' F2 D' B F' R F' D' B2,L2 F D L D2 L' F' D' L' F2 L',47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U L2 U2 B' R' D',B' D B2 D2 L B U' L' B,B L' D' L D' L' D2 L2 B' L',L' R U2 L2 R2 F' L' R U F2,D' F' U' F2 U L F U L2 U' L' D,47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' R2 F2 D2,L2 R' F R' F' U' L2 R' D,B L B2 R' B' R B2 L',F' D B2 U' B' D2 U2 F D R2 U' F,L2 B2 U' R2 U' B' F R B2 U2 L' B F,46
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F2 D2 L' D' U L2,B' D' B2 R2 B' D' R,D2 F' L' B R2 B2 F U B,R B2 L R' U' L2 R2 D' L R2,D' R2 B2 U B' F R' U2 R' B2 D2 B F,45
