scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' R' D' F' U B2,U' R' B' D F2 L' D' R U',U F' L2 F L' U2 L' B L2 B' U,R2 U F' U F' U2 R2 D2 B2 D' B D',F' L B F' D2 B' F L F,47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' U2 B,L2 R' B2 D F2 L' F D' R,B' L U' L2 U L' R' U R B L2,F U2 F' L D' R' D2 F2 D2 R D L',U' R D U' B2 D' U R U,45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 R' F2 D F',R2 U2 B D L' B' D' R2 U L2,L R' F' D2 B' D2 L F R,D L B L B' L' R' D U2 L' D' R B2 D',B' U B' F R2 B F' U B,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B U F' R U',R2 B' U2 B R2,L2 R2 U' F U F' L2 U L' U' R2,R U B2 D2 F2 D2 B2 U R',,31
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 D2 R2 D' B,L' D L D2 F2 U2 F2 D L,B D L D' L B' U' L U L,D L2 D' U' B' U' B' U' B2 D' L U L' D,U' R D U' B2 D' U R U,47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' U' R' B' D U2,R U2 L' B R' U R2 B R2,U L' D U' B' U2 B D' U2,F' L2 D B' D' L2 D2 B' D' B D' F,B D' B' F R' B F' D B' F R F',48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U L' U' B2 F R2,R' B2 D2 F D2 R' U' R2,U' L' B' R B2 L' B R' B U B,D U' F L B' L2 U' F' L' B2 D' B' L2 U,U' R D U' B2 D' U R U,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B' D' U2 F U' F2 R',R2 U2 B2 R D2 F' L' D2 R,D2 B2 F' D' B D' B F D B D,L' B' L2 F R2 F' L2 B' F2 D' B2 F2 U' L,,41
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' R2 F2 D R2 F',D2 F2 L F' D2 B' L U' R B,L U L B' F U' F' U' B L2,L' B' R B2 R' F R F' U2 L U2 L' B' L,U' R' D U' B2 D' U R' U,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U' F2 L' D' F' R,U' L R B U B' L2 B' U' R',B2 D' F2 D' R D R' B' F2 D B',F U2 F' U' B2 D2 B R' F2 R B' D2 B2 U,F2 R F' R' F' R2 B U F U' B' F' R2,54
