scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L' F2 D R2 B',U2 R F D2 B' D2 F R2 F',B U2 L U B' U B' D R' B R,R2 D R2 B' F D2 L' D2 L B F' D',R B' R' B' R2 F D B D' B' F' R2 B2,50
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,R B R U2 R,D F' L' U2 B' D' B' U2 L F,B' F U2 L' U2 B F2 R F' R' F2,D2 B' D' B D' L D2 F' R' F L B2 L2,B R D U' B2 D' U R B',48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L R B2 D' F R2,B L' U' R2 D2 F' L2 U2 F U,L2 D R F L2 F' R' B D' B' D2 L2,L2 D L' F2 U' B R B' F2 L2 B D' B2 L,F' L U L' B' F U R' U' B,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R' F' R' B' L2 U',F U R2 F2 L' R2 U' L F',D F L2 U2 F' L' D B L' D B',R2 D' L2 F' U' B' F R B L2 D R2,B R' D U' B2 D' U R' B',47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L2 F' R2 U2 R D',U B' U R' D2 R U2 L D',F2 U' R' B' U F R2 D B' R' F,F' R2 B' D' R U' R2 F2 D' B' U' F' L2 D2,B F' L U2 L' B' F U R2 U',50
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U' B' L2 U B2 U,F' L2 F R2 U' B' F2 U2,B2 D' B2 D B2 D B2 D2,F D B L' B' D B' D' B2 L F' R2 B' D,B F' L U2 L' B' F U R2 U',46
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' D' L R2 D' F',L B' L B2 L D2 L' D' B',R2 U2 F' U2 R2 B' D R' B R,D' F' R2 D2 R2 B' D F' U' F2 D' L2 D' B',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,53
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,U' B' D2 U' L R U',B2 L B2 U2 L U2 R' D2,B' L' F L U' B U2 L U' F' D B,R2 F' U F' U' L2 U' B2 L2 F2 R D' R',R' B' R B F D2 B2 D' B D B D2 F',53
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L D2 F2 L2 F L',U2 R2 D R' B R2 B' D' U2,F' D' R' D' F L D B D2 L',U' B2 R' B' L' U' B2 U R D L U,R B' R' B' R2 F D B D' B' F' R2 B2,50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U' B F' U' B2 L,U' L D2 F U L' B' L D,B' L' B' L D2 B F' D' F L B,B' D B D' L D' R' D L' D R2 D2 R D,R' B' R B F D2 B2 D' B D B D2 F',53
