scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,R B' U B' R2,R2 D B D' R D2 F' R2 B' R',R' D F' R D R' F R D',U' F2 U' L' D' L D U2 L' F' L2 F',F2 L B F' D2 B' F L F2,45
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D' L F2 R' U' B',R B D B' R2 D' B2 R' B2,R' D R F U L' U' F2,D' F2 L2 U L U' L F' D F',B' F' U' F2 R2 F2 U' B F U2,43
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B L' D R' U' L2,B' F2 L R2 D2 L' U' R2 U B,U' F2 D' U R U' R B U L2 R2,L' R F' L' F R' B2 F' D' F D B2 L2,F2 L' B F' D2 B' F L' F2,49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,D2 L' D L R2 B',L D' R B U' R2 U' R2 B' L',B D B' F2 D L' F D2 L D2 F',U' B2 F' R' B' F D B' U,U' F2 D' L' F2 L F U F L2 F' L D,49
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R' D U B2 U' B' L,F R D' F L2 B2 L2 B2 D',U L U2 R' D' R U L' F' L,B2 L U' R D U' B' D' U2 L' B2,L2 F' D' L2 F' U' F U L2 F D L2,49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D L2 U F2 R B',D L B2 F' L B2 F L' D',D F2 D' B F U' R' U B' F',D' B R F D2 F2 R F R2 B' L' D' L,D B' U2 B R F R' B' F' U2 B2 D B' D2,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R' F D F' L2 D,F L2 B' L2 F D B D' R2,F2 D' R' B R2 B' U' B U R',D2 L' D R F2 R2 D L D' R,F D L' B F' D2 B' F L' D' F',46
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' U2 R B2 D' B2,B F2 U' R' D B U B2 R,F2 D2 L' D' B' U' F2 U L B L,B L B2 U R' B U L' B2 R' D' B2,U R2 D B R2 B' R' U' R' B2 R B' D',51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,D B2 L F D B',L2 R2 B' R' B R F' L2 B,R U F L F' U' F' R' D',U2 B D2 B R D R' D2 B' L B' L' U2,F L' B F' D F D B' F L' F2,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 D2 L B' R2,B2 F R2 B2 D F D F2 R2,F L D2 L2 U' R2 U' R2 U2 L,F D' F' D R2 B2 L U L' B2 R2 D,R' F' D U' R B' R D U' B2 D2 U2 F R2,50
