scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' B D2 U R2 U,R2 F' L2 R2 F U2 B F',B2 R' D2 F D2 R B2,U' B U' B2 R D L2 D L2 D2 R' B U2,F' L2 F R F' L2 F R',42
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R2 D B D L D,L U2 B' L' R D B' U' R' B',D' L2 R B' R' B' L U' L D,F R2 D' B' D' L2 U' F U L2 B F' R2,R' D2 R B' U2 B R' D2 R B' U2 B,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R' D' R' B2 D',B U B U' L D F' D' B2,U' L' U' L B U L U B',B' F U2 R' B R' B' R2 U2 B R' F',L U2 L' D2 L U2 L' D2,43
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D R' F2 D L',B' D2 B' F R D2 L F,U2 L2 D' B U' L' B' L B' D L2,F' U L' U L D2 U' F U' F' D2 F,U2 L U R2 U' L' U R2 U,45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 L' D2 U2 R U',B2 U L F' D F' D' U B2,F' L B R2 D L R2 B' L2 F,R' F R' D F2 D' F2 R' F' D F D' R',R B' U2 B R' D2 R B' U2 B R' D2,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U B D R F U,F2 R D R F R2 F2,L2 U B' U2 B L' D' B' D L',L2 R2 F R2 B2 L2 U F U' L2 B2 F' L2,,37
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' U R2 B F2 L',D' L U R D F' U' L',L' R2 F2 R F U L F R,R2 U2 R' B' R U B' U' B' U B2 U R2,D2 R B' U2 B R' D2 R B' U2 B R',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' U' B2 R B D' B,D' B2 R' F' D2 F U2 L' R2 D,L D2 L U2 F R F' U' L' D2 L',R U2 B' U2 R U2 B' D B D' B U2 R2,R' B R F R' B' R F',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 D2 U' R' B D',D' R D' F R2 D2 F2,F L2 F R2 F' R2 U L2 F',B' F R' B D' U' L U2 F' U2 L' D U F',R' D2 R B' U2 B R' D2 R B' U2 B,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R2 B' U L2 D' L,D' L U2 R B2 D B2 U B2,L B L R B' R' U2 B2 U B L2,U' R' F' U L U2 L' U F R B' U' B U2,U2 F' L U2 B' U2 B L2 F' L F U2 F,53
