scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U' L U2 B2 R2 F,F R' D' B U' F' L' R U,L' D2 U2 F' U' F2 D R U' R' D L,R2 F2 U F' D F L2 F U2 B U F D,L' B F' D R' D' B' F L D,50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U' R' F2 U B F,L2 B' D' R2 B2 D B2 L2,F U' B' D B U2 R' U' R F' R',R2 F D' F' D' R2 D' F D F' D' R2 D2,B U' B U B' F R' B' R F',48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F U R2 B' R,F' D' F' U2 L F U' F L2 D,B2 F U2 B D B' U2 B F' R' B,B F' U F' U' F2 D B' R2 B D' B' R,B' R' D U' B2 D' U R' B,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 R2 B2 L2 F D',D' B L2 D L2 B' D,L' U' L F2 U F2 R U' R' F2,B D R2 D' B' D U F D' F' U' R2 D',,36
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D' U2 F R' U,R' D B D' B L2 F U B' F',U2 B R2 D2 L2 B D2 B' F D2 R2,D2 F2 R2 D' R' B R' B' R D R' F2 D2,B U' B U B' F R' B' R F',49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 D B' R F',B2 L D' U R' D B' U',F U' L' D2 L' D2 B2 L' B2 L2 U F',B D F L' D2 L F' R' B2 R D' B',R B R' B' F' U2 B2 U B' U' B' U2 F,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 F' D' F2,L2 B2 L U2 L' U' B' U' B2,B2 L' B' U' B' U B L2 B L' B2,D2 F' R2 F R D R D2 R' D R D',R B R' B' F' U2 B2 U B' U' B' U2 F,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U F L' F,L2 F' D B F L F2 R F2,R B2 D' B D F D' B F',D2 R D2 R D2 R2 B' D' B D2 F D F' R2,B' R' D U' B2 D' U R' B,45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F2 D R' F' L' F,F2 U2 L B' F R2 D B' F,B' R' D U L2 F L2 D' U' R2 B,F' R F2 D F2 R' B R2 B2 F2 D B F' D2,R B R' B' F' U2 B2 U B' U' B' U2 F,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' F2 U2 B L' F,L' D F' U2 F2 L' F' D' B',D2 R' U R2 U B L F' L' B' D2 U2,F' U' R' U F R2 F' U' R2 U R' F R',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,54
