scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D B2 D2 L2 F,D2 R' U B' U' F L2 F' R,U' L' B' L R2 F R2 F' U B,U2 B U B' D2 U' L U' L' D2 U',,35
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B' R2 F2 R' B D2,B R2 B R2 D' B R B D,R U' B' U' R' B2 U B2 U2 B',R U2 B' U2 B2 R2 U R2 B2 U2 B U2 R',F R2 F' L F R2 F' L',46
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R' D L' F L D,D2 F D B F' R B' R' D R,D2 U' L F' L' D R2 D B2 U2,D B2 L B F U B' F' L' B2 D',D' F2 D B2 D' F2 D B2,45
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F R' B F' D L',R F U2 B' D2 F R2 F2 R,U L F' U L' U L F L' U' B2,D2 U L B' R' U R B L' D' B2 D' U',F U2 F D' F' U2 F D F2,48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U2 L2 D2 F L2 R',B' F L' F2 U B' R B2 F D',F' R B R' B2 L' B L U' F,D U L U B U' B' L' D' U',F2 D' F' U2 F D F' U2 F',45
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R D F D2 U2 R2,L2 F U2 B' D' U2 F',L' D' R D' R2 D2 R B2 R' B' L,D' L D R D' L' D R',U' L D2 L' U L D2 L',40
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U' F' R U' L',D2 B2 F' L2 B' L' R2 U' F U',U L U F' U F U' L' B2 U',B R B R2 F' D L2 D' F R U' B' U2,R F2 R' U B2 U' R F2 R' U B2 U',50
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B' L2 F D' U',R' D' U L' D2 L B' U' R D,L U B2 D2 R D F2 D U' R2 B',B' U2 B' L D B U2 B' D' L' B2,D F D' F2 U L2 U' L2 F D' L2 D L2,50
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' L U' F L',B2 D' L' D' B' L B R2 D,B2 R B' U2 L R' U2 L' F' U' F,D2 L2 D2 B' R D' R' D' L' F U2 L' F' D2,U L' D L U' L' D' L,47
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B' U' B F L' F L',L B F D2 U' F L' B R F2,R' U R B2 U' B' D' R D,B F' L B' R B' L' D2 R D2 R2 B' F,D F D' F2 U L2 U' L2 F D' L2 D L2,52
