scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L D' L B' U2 L,D' L B2 L2 B' D B2 L2 D2,L D U R2 D2 B L2 D U F2,L' D2 R' D L2 D' B' R B' D B2 D L',R2 B' F' R B2 U2 B2 R B F,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L U F L2,L' B2 D2 F' L2 U L2 R' B2 F,L' U2 B2 D F' R' F' R U' L2 D' U',D2 B' D' R D' R U' R' U' R U R',B2 D' B' F L2 B F' D' B2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L F' R' D2 F2,F U B2 F' U2 B L2 R2 F,F2 D2 B' R D U L B' L D2 F D',R2 U B2 U' L2 D L2 R B2 L' R2 D2 L,L F L' F2 L2 B F D F' D' B' L2 F,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' B' U L' U' R,B D' F' R B2 D B D' F,D2 L B' F' L2 B' F' R U2 B2,F L' B2 U' B' U B' L F' L' B' L,D' B' L' D' U B2 D U' L' B D,48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D2 B' D L2 F2,U B U B R2 B' U L' D2 U,D' B' L D L2 B' U2 B F L2 F,U' B' L' B' L' R D L2 R' B U,,38
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B2 R2 F R' F',B2 L F' D F' R2 F2 L2,D' B D' B' D' F U F R D' L2 U',D R' B2 U' B D' U F' R' U R2 U F,B2 D B' F L2 B F' D B2,47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R2 F U' B L' F,F2 D2 U L' B2 F D' U2 L' D',D U2 B' R2 B L2 U F' D' B2,B L' R D2 B' L' R D L2 R2 B,L2 F' D R' F D' L2 R2 U B' R U' B R2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F2 R' D L D' B' U2,U' L U R D R' D' B',L U2 B2 L2 B' R2 B' R2 F U2 B' L',F' D L D' B' F L U' L' B,D' B' L' D' U B2 D U' L' B D,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 L F' D2 L U',F' D R2 D B2 F L2 B,D' L B' U L2 B L2 D U L U2,D' B L B L' B2 D R2 B' U R2 U' B R2,R2 B' F' R' B2 U2 B2 R' B F,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U2 R' D L2 F,F L2 R2 D B2 U L2 R D' F,D' U' L D U' B L2 B' F' U2 F2,B U2 F' D L' D2 B D B' U B2 U' B L2 F,U2 F D' U L' U L D U' F' U,52
