scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' F2 D R D' L2,B' F D F D2 R B L U',L U' L' R2 D2 U F2 R' U' R2 B D,U L D U2 R2 U R' D' F2 U2 L' U2,U' R B F' U2 B' F R U,48
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' D' U2 B D',R2 B U' L B D B2 U L2,R2 U B2 F2 R B2 F2 L' U' R2,B R' D2 L U2 R U L U' L' B L2 F2 L,D' U F' U F D U' R' U' R,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D' L' U2 L',D B2 F2 U B' R' B' D',U2 R' B' F2 D' L2 R2 U F' L D2,U2 B' U2 F' L' B D2 U R' D2 B' U' L F,R' U R D B2 U' B' U' B U2 B2 D' U',50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 D' B,L D' U2 L2 U' B' U' F D R,R D' L' D L B R2 U2 F' U2 R2 B2 R',D' U' F2 L U2 F2 D2 R D' U R2,U R U' L' R' B2 R2 B R' B' R' B2 L,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U B U F' D2,B2 L B2 L' U' F2 L F2 R',L F2 U R B' D2 U R' U' B2 L' B' U2,U L' D F' D' F2 L F' L U' F L' F2 L,U' R' B F' U2 B' F R' U,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R' B2 U' R2 B,D' B' F' U L' B2 L2 D R U',U B2 R D B2 R2 B' R B U' L2 F R,L F' U F2 U L D F' R2 D' F L2,F R' D B F' R' U F' R U' B' F R D',54
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U' B' D' L' D',B D B2 D R' U2 B F' U' R',U' L2 R' U2 B2 R' B R F2 R' B R U',L2 F' U2 L2 D U R' D U' R2 D2,L' D' U B R' B' D U' L B,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B L' F' R F',F U' L2 B' D R U' R B L',L' B' L D' L' B' L R D B2 U',D R' D2 L B' L' D' B L R2 U' L' R' D2,F' L2 D2 R2 B' D2 L2 U2,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B U2 L U' R D',R F U R2 B2 D F2 L B2 F,B2 D2 L D' L' F D2 B2 U' B L U B',R' U B D' B' U' R D' U B D B' U B U2,,44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L F' L B',F2 R2 B L D' F L' B' F',L' B D B R2 B' U2 B L' F D B2 U,L B' L R U' F' L2 D2 L' D2 F D R' F L,U2 L2 D2 B R2 D2 L2 F,50
