scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 F' U2 F2 U L,F2 U R2 D R' D' U',R U R' U B' R2 B R' U R' U2,D2 B L2 F' L' R U L' R' B' D2,L B L' D' R' U' B' U R D,45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' U2 B F2 L U2,U2 F R' U2 F2 D' L' F D,R' D2 L2 U B' U2 L2 B D2 R F',U' B U' B' D U F2 L F U' F D' U,U2 B' L R' U2 L' R B' U2,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R F2 R U B' D U',B D L' D2 F L2 D' L' D2,U' F' D' B' U2 R2 U' R2 B D F U,D' U' R D' U F' U2 F D2 U2 B',D' U F R F' D U' R B' R',49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,R2 U B' R D R,F D2 U L' D2 R2 U' F2,F2 U B U' F U B' U F U2,B' U' R2 D' U' R D R' D B2 D' B U2 B,L B L' D' R' U' B' U R D,48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R2 B L D2 B2,U R' U' B D2 B F' D2,B' R B R B' R2 D' R D B,L2 R2 D F D' L2 U B' D' U2 R D U R2,U2 B L R' U2 L' R B U2,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 R2 U R D,B2 U2 F U R' U B F2,U2 R' B2 R U2 R' B2 U' R2 U R',B' U' B' U' L2 B2 D' B D' F' R2 D2 B L2,D' U B U' B' D U' L U L',48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' U' B2 D R' B' U',U2 R' B' L' D L R F2 U2,U' L' B L B' R U B' R' B2,D' R2 U' R2 U2 R D U2 R2 U L U' L' R2,U' R' F2 D2 B2 L' D2 F2 U',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U B2 U L D' B D,L2 B2 U R' U' L2 F,R' B D L B U' B L' B D' R B',R B2 R F R U F' R2 F U' B2 F' R' B,L U' L' D' B2 U B U B' U2 B2 D U,53
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R U2 L F' L,R2 F U' L2 U R2 B2 D,R2 B2 R' B2 R B2 U' R U R2,U B2 U R2 U B U2 B U B' U R2 B' U,B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 L' B' R D' L,F' U2 F' D' U2 L' D' L D2,U F D F' U F D B' D2 F' U2,F2 L' B D' B2 R2 D' R F U2 B D2 F L' U',,41
