scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U B2 F L' R U B',D F2 R F D' R D R',R B' F2 D2 R F R2 F D F R B,D' L2 U' F U' F' U2 L2 D' B' D2,D' L' R F R F L R' D' R',48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L' U2 L' B' F L,U R2 D R2 D' R2 U' R2,U2 B L2 F' R U R' F L2 B' U2,B' L' F' U2 B2 D2 B2 U2 F' L B,F R' U2 B2 F2 L' B' F U L2 U B',48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 B F2 D2,L U' R' D2 R B' U L' F,F' L2 R' D2 F L2 F' D2 L2 R F2,B2 D L R2 U2 R U' L' B2 R2 D' R' B2,F' D2 U2 B L' B' D2 U2 F R,47
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 R' U' B D U',B D F2 R' D R2 D2 B' R2,F' U2 R U2 L2 F U2 R' D' B U2,U B' D L2 B2 R F2 R U2 F2 R2 B' D U',D' F' D U' R D2 R D' U F' D',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' D2 U F' U B' L',D' L' R2 B2 U2 B2 L F2 D,U2 B' D' R' D2 B R D' U2 F D,R U2 L2 F L2 U2 R2 B R,U' B2 R U2 F2 D2 L F2 U',45
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' B D' B2 D' B2,R' F' L' R2 D' R2 F D L,D B U2 F' R2 F' R2 F2 U2 B' D,R F D F2 D' R' D' F' D2 F,B U' R2 U' B' F R B2 F2 U2 L B2 F,49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L B2 D L2 D',R2 F' R2 D R' D' F2 R F,D2 U' F2 R' D' U' B F' U2 L2 B' D,D' U' B F2 R2 U' R' U B' U' R' U F2 U,R D' L' R F R' F L R' D',50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F L2 R D' B' D2 L,D R2 B F R' B' F' D',U' F U L2 B D2 B' L2 U' F' U,F' R' B F D2 R' D2 L2 F' L2 B D2 B2 R,F R' D2 R B F' U' R2 U B',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R' B L' U' F2 D B',F' L U' B' D' B2 R2 U L',D2 F' D2 U' R D U R F' R',L2 D2 L' B L2 B D B D' L2 B' L D L2,B R U' L2 U L R' F' L2 F L' B',52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U R2 F' R U' B,R2 F L' B U B' L F',L' U' L' B2 D L B2 L' R' D' B2 L2,B2 D' B' D' R D' R' B2 D' B' D2 B',B D R2 B L B' U L2 F2 L2 U2 R2 B L',52
