scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B2 U F' D' U' R',B U' L B' D L2 F L2 D',R' B U' F2 L' F2 L U L' B' R,D2 L U' L F L2 D2 B2 L U L' B',D B R2 B' R' U' R' B2 R B' D' U R2,51
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B' U' L2 U2 R2,U2 R' U' B2 F2 L' D2 L' B2,F R2 F D2 B R' D2 R' F2 U2 L',R2 U B' D F2 D2 F2 D' B U',U2 B2 D U L U' L' D' B2 U B U B',48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R F2 L2 B F2 D',D U' L F2 U' F L' D',R2 D R B' D' R' D L2 D' L2 B' D',B R' D2 F' R B2 R' F D2 R B,D' U R' U' R D U' B' U B,47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F2 L R2 U' B,R D2 B' L2 B' D2 R' U2,F R' F2 L2 F U L F U R F' L',B D2 U B R B' U' B R' B' D2 B',D B R2 B' R' U' R' B2 R B' D' U R2,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F2 U' F' R2 D B2,B2 D2 L2 B L2 R F' D2,R U' L F2 L' B' D' L2 U B F' D2 F,B' L' R U' R2 D R' D' R2 U L B,L' D' L D' U B' D B D U',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U2 L2 D' L' F' D2,L' F' L F2 U L2 U2 F L2,L2 D F' D R2 B R2 U2 R' D2 U2 F,R F U2 F2 R F R' F U2 F',U B L2 U2 L2 R2 D2 R2 B' U',47
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U2 R2 U L B' R2,U F2 D L R' U2 L' D' F2,B' L2 F2 L D2 L F2 L2 D2 F2 R' B,U B' D2 F2 L' F L F D2 B U' R',D R' F2 D2 R' U2 B2 D2 L' U2 R D',51
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 B U' B L' F2,B U' R' D' L D R B' U2,L' D2 R U F R2 D F2 U' R2 B L B2,D2 B2 D' R' B D B2 D2 R2 D R' B D',D' U B' D' B D U' L' D L,51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F R D L F,R' U2 B L2 B D L' D2 B2,U B' U R2 F2 D U B U' F2 R U2 R,D F D B D2 F D' B D L2 U L2 F2,F2 R' D2 U L' B' L2 B D2 U' F R,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B L2 D2 F D,B' D F' D F2 D2 B U',U B D2 R' U' F2 R' U' F2 D2 L' B,R' U' L2 U2 F' U' R U' L2 U,D' L' U2 B2 D2 R' U2 F2 R D U' B' D2 U,49
