scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F L2 F' L2 U,U' F2 D F2 D F D' U L,R' U2 B D' U R' U L' R F L,B' R2 F' L' F R' F L F' R' B,B2 L B' U2 F R' F' U2 B2 L' B,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' U' L' D,U L2 D' F2 U' R' D2 L R',U L D2 F' L2 F2 D2 L2 F2 L U',B' L D2 L' B R F D' F D R F R2,F' R2 U' R' U R' F R' B' D' B R,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L B' R D' L2,L F R' D' U2 L2 U2 R D' L',F R2 F' L' D' F' R' F2 L' R2 F L2,F2 R' U' B U' B' L' U R2 U2 L U' R',,40
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F' L D2 U F,R2 B' F2 U B F' L' R2,B D R' B' F D' B F' R2 D' B',B D2 R' F' U2 F U2 R D2 B' F R F',F' R2 U' R' U R' F R' B' D' B R,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R' B' U R' B',L B' F' D' B F' R' F2 L',D B2 R' B' D B' F2 D F2 D2,R' F R' D R B R2 B' R D' R' F' R',F' R F2 U2 B L B' U2 F R' F2,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' R' B L R',U2 F2 D' U F L2 D U,R2 D2 R U2 B U' L U L' D2 B2 U2,L' R D' U' R U R' D L F' R' F,F' R2 U' R' U R' F R' B' D' B R,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' D L2 D2 R,B' D' L2 F2 U' B' R' B2 F2,R' F2 R U L' F' L F D L2 F D' U',R2 D' L2 U R B2 R' U L2 D L' U L R2,D2 R' F U2 F' R D2 R' F U2 F' R,53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F2 R' F' L' U2,R2 F D' L' U B' D U' L R2,U L' D L' D U' B R' B' U2 L2 D' U2,L U2 L D L' U2 R' U2 B' U2 L R D' L2,B' L2 U' L' U L' B L' F' D' F L,54
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 B' U' L2 B',D2 F R' D2 L D2 F' D2,U' B D2 R B' D' R' B R' B2 R2 U,R' F2 D R2 F' R' D' F D F R' D' F2 R,L' D' L D' B R F L D L' D F' R' B',53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B F2 U' L D',D B2 L U L B2 D L F' L',U L' D2 L' B' L' B D F2 L2 U',B2 R2 D2 B2 D F2 D' F2 L2 U' F2 U' L2,D2 R' F U2 F' R D2 R' F U2 F' R,51
