scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U2 L' F L2 R,R' B' U L B2 U' B' L' R,R D U R D' F R' F' U',D B D' L2 U L2 U' F2 D B' F2 D',R2 U2 R B F' U' L2 U B' F R,47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U F U L2 B2,L' R D2 F' L R U R2 B2,L D2 U2 F D F' D' U2 L D2 L' D',R D' R' D' F' R D R D R' D' F,B F' D2 B' F L2,44
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B R U' L' B2 U2,D' F R B2 F2 U2 B L' R' F,F' R B' U B2 U' B' R' F' L' F2,D2 B' L B D F2 R' F R' D' R2 F D,L2 B F' D2 B' F,46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 F D U' R U',U2 B L' F' D' F2 L B' D',D B' R2 B2 D F' R2 B' U2 F,R2 F' D' F2 L' B' L' U' L B L F' D R2,D2 L' D' U B D2 B' D U' L,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B U' L' R2 B2 L',U' B' R' B D' L2 D' F2 L2 U',D' F L2 F D2 B D B F2 R' U2 B2,U B' L B' L2 R2 F2 L2 B' L' B R2 U',R' B F' U' L2 U B' F R' U2 R2,53
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D2 B2 F2 U' L B2,D2 F L' F D L F2 D' U',L B2 U R2 U' B' L2 D' L2 B' L' D2,D R2 D' B L2 F' R U2 R F L2 B' D2,L' D' L D' B R F L D L' D F' R' B',54
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R2 U' B R F,R B U B2 R' U2 F' L2 F,D B R2 D B' D2 B R2 D' R2 B',R' D R D2 L U2 L U2 L2 F L D F',L2 U B F' L' D2 L B' F U',48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F R2 F L2 D,R U B D2 B2 R' D2 B' U' R' U',R' F2 L F L2 R B' F U2 B2 D' B',F' R' U F' U' F R' U' R' U R' F R',L2 B2 U' B' F R' F2 D2 F2 R B F' U B2,55
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F D2 R D' U2 B,U B D' R D B' F2 D' F2,D B R' D' B' D F D L2 F' D2,D' R2 B' R' B2 R F L2 B F' U' B2 U R2,L' D' L D' B R F L D L' D F' R' B',54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 L' F' D' R B,D U F2 D' L R' D2 B' L' R,R D2 B D2 R D B' R2 B2 R B2 D',R2 D' F2 L2 F' L2 F L2 F' D F2 R F R,L' D' L D' B R F L D L' D F' R' B',56
