scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 L2 F2 D' F U',B2 R' B2 F' D L2 F R D' B2,U' L' F L' D' L2 R' D' R U,U' L F L' F2 L2 D L2 D' F2 L F' L' U,B D2 B U' F U B2 L2 U' F2 D F U,53
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B F' U' L2 B2 R' B',L2 R D L2 D R U F' R2,F2 L2 D' R2 B' R B' R F2 D F2 L2,B' F D U' R2 F' D' F U B U2 F' U2 F,B' U' B2 R B R' B U2 F' L F U' B,55
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L D' B F2 R2,U' R F D2 B2 D' L2 B2 R2 F,U R2 U B' D' B2 R' B' R' D' U2,D R2 F' R D' R B R' B' D R' F R2 D',D' R' B' R B2 L' B R' B' L R B2 D,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' D L F2,D' F R U' R U F2 R2 D,L2 B' F L' B F' D L2,R' B R' U L' F2 L U' R B' R2 D2 R',B' D2 B2 D U R D' R' U' B2 D B D,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 F D L U2 F',U2 F' L D B' L D2 L2 R2,D' U L R2 B U2 R U2 L' U' B2,B2 F' D U F' U F' U' F2 D' U' B2 F,B' U' B2 R B R' B U2 F' L F U' B,52
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' F R' U2 L F',R' D U F U F' D' R,L2 D' L2 U B' R2 B R U R' U2,R D R' F U B2 D L' U' L' D' U2 B2 U2 F',B' D2 B2 D U R D' R' U' B2 D B D,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 U F2 L' B2,R2 U R2 B' D L' D' B,B D U R2 B D' U R' U2 B2 D2 B,F' D2 B U B' D B R2 U' B2 D B F,D B R D R' B' D' B R' B R B2,50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' U' R F2 D' L',L' B R F L D2 R' D',D2 U2 R' D' L' F2 R F L D2 U2,B2 R2 F R U2 L' U2 R2 B' D2 B' R2 F' R,B D2 B U' F U B2 L2 U' F2 D F U,52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' U R2 F L2 U,R2 D' U2 F R U F' D R2,U R U R2 F U2 L2 D B R D L2 R',F' U B2 D' B2 U' B U2 R2 U2 B' D F,D L' B2 R2 B2 D F' D' B2 F R2 B2 D' L,55
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 B L2 D' L D' U2,L2 D' B' R' B2 U' R B2 L2,D2 B2 D2 U' F D F' U B2 D2,L2 B U2 R2 D' L' F2 L D R U' R U' B' L2,B' U' B2 R B R' B U2 F' L F U' B,54
