scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' R2 F2,B' R' F D F D' R' D' R2 B,D R2 U2 R' U' R U' R2 D',L' U B' U2 B L F R U2 R' U F' U',F D' R2 D F' L2 F D' R2 D F' L2,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D F L F2 U',U2 R2 U B F2 U2 B D B2,F2 D L' R2 U B U2 L R2 D',L D R F' U2 F' U2 F2 R' D' L' F',D' U' R' D B2 U' L U' L' U2 B2 U,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D U' L D B U,R U B' F2 D' B2 U B' F2 R',F R2 U R' U F' U2 F R' F',L U2 L2 U L' U B' U' B U' L' U2 L',L2 F D' R2 D F' L2 F D' R2 D F',51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' B D' L' D',F' L2 B' R' U2 F R' D U2 B,L F L' R U F' U F2 R' F,F' D2 R' D L2 B' L' B' D' R D2 L',U L2 D F' D' L2 U2 B' U' B U2,48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L R' B2 D' B L U2,R' B U' F L2 U F' U B',R F' U' L F2 U R U' R2 F' L',D2 U' F' U F D' R U R' D',R' D' R U' F' R2 B' R F R' B D R2 U,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 U L' U' B U',R F2 U' B' R F' R' D' B,D F2 D2 L F R' B2 R F L' D',D L' U2 L2 F' R' F L' F2 R F D',L2 U L2 D F' D' L2 U2 B' U' B U2 L2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 R U' R B',R2 B F2 U2 L2 U' B' U R,L U' R' U F2 L' F2 U' R U,L2 F R B' U' B U F' L2 F R' F',L2 F D' R2 D F' L2 F D' R2 D F',48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D2 R2 U' F2,B2 D' L' U' L2 D B2 D2 F,F R2 U2 B2 L2 D F2 L2 B2 F' U,F' D' L2 D' R2 U2 R2 D L' D L' F,R U' R' U' R2 D B U B' D' U' R2 U2,50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B D2 B D L,D' L2 D2 B D' L2 R' F' R2,R U2 R' U' B D' R' F' R D B' U,L2 D2 R U R B U B' U' R2 D2 L2,U' F D F' D' F2 L2 B' U' B L2 F2 U,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F2 L' D B L F',B U B L' B R2 D' R2 B,F L D' F' D R' D2 R D2 F L',L D2 R' D L B2 L' D2 R D' L',R' D' R U' F' R2 B' R F R' B D R2 U,51
