scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' B' L2 U2,U2 R' B L D2 R' F' L D2,B2 F' D' F D2 U2 B' D' U2 B2 F,L' U' L2 B D B' D' R' B' L2 R U L,,37
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 L2 D F' U R2,F' U' R2 U2 B2 F D' B2 F2 R,R2 B' L2 F D2 L2 R U R F' U2 F,D B L' F U' F2 R F2 U F' L B',,40
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' L2 R U B',F L2 U L B' D' U' F' L2,R F D F U B D2 F2 D' B' U B U2,D B F2 R' F2 L B' D2 B L' B' D,B' D2 B2 D U R D' R' U' B2 D B D,52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U2 B' D L F2,D2 B2 L' D' U' R' D B' D2 R',L' U2 F L2 F D' L2 U' B' R' U F' U,D F' L B' L F' U' F2 U2 F' L2 B F,R B' D B L R' U' B' U L',51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L D B' U2,D U2 F' R U2 B R2 F' R2,U L U F2 D2 U2 B' R F' R' B' D' F',B' D' B R2 D' R' B R' B2 D B D,R' B' L' D L B R F D' F',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 F L F2 R,F2 U' L' D' B F L D F',F U L2 D' F' D2 U L B' U2 F,B L D2 B' D' R' B' R B D' L' B',L U2 R2 B R2 U2 L2 F L,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 D B' L R,R' F' D R B D' U2 R' U',R D' R2 F' U' B2 U F2 R' D2 F' D2,D2 L' B L2 B F2 R' B R' B F2 L' D2,B' D2 B2 D U R D' R' U' B2 D B D,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L U F L2 F,F2 R' F D2 F2 D B2 D2 B L2,L' B' U R2 D' B2 F' R D B' L' U2 R,F2 L' R F L R' F L' F2 L F' D',L' F' L2 U2 R2 B' R2 U2 L',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F2 R' B' U',R' U' L2 B' R D B D L2 F',L' U B L U' B D' B2 U2 F L' B L2,L2 B D B U2 B U B2 D' B U2 B2 L2,L U2 R2 B R2 U2 L2 F L,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L' F R F2 R,R2 U' L2 B' L2 R2 D' L F2 D,L' R B' F2 D B L R' D' R' D',B2 R2 F' R' F R2 B2 D' R' D R D',F D' L B F' D' R F' D R' B' F D L',52
