scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 R' U' F D2 B',D2 B' U R D U' R' D2,L2 R' F' D R2 D' F' R F2 R F2 L2,L2 R' D F' L2 F U2 B' D' U2 L2 D' R,U' F U' L' R B U' B' L R' U2,50
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D2 F' L2 U L,D L U' L2 U2 F2 D' B' U',D L' D L R2 B' D U L' D2 F2 U' F',B R' D R D2 F2 U L U' F2 D B',D L B2 U2 F2 R U2 B2 D,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F2 L F' R2,D R U2 F2 R B U F2 U2 F,R B D' B' L' R' D F D' L,L R D2 L U' L' D2 L2 F' L' U L2 R',D L B2 U2 F2 R U2 B2 D,46
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U' L F' R2 B2,B' D2 R' U L' F' D R2 F,R2 D L2 F' D U' R F2 D2 U R2,F2 D2 R F R' F D' L D' L' F2 D2,F L' U' F' U2 F L U' F' U2 F U,49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L' B' D L2 D2 U',F2 U' R2 F L D' B2 L' U L',L' R U' L2 U L' B' R2 U2 B U2 F R',L D L' D' L R' B R D' L',D2 B R2 B D U' L' B2 D2 U2 R' D' U',52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,F2 D2 R' F' L',L2 D L' F' L2 F2 D' L,U2 F L U F' L2 F' R B D L2 B',D2 R F2 L2 U L2 U F U' F R' D',U F2 U2 F L' U' B' U2 B L U F' U,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F R' D' L' D2,L' D F L2 D' L' B' L2 U B L,R D' R2 U B' L' B R' U' B R2 D,D' F' R2 U2 L' B2 L B L2 B' U2 R D R,F' U F U' L' U2 F' U' F L F',53
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' B L D2 B' L2,L' F U' L2 B2 F2 D2 U' F' L,L2 U' L' R2 B D U B D' L' B2 R2,D F' R F R2 D2 R D R' D2 R D',F L' F' U F U2 L U F' U' F,51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 D B' U' R',R' D B F2 U B U' L B2 F2,F2 L F D U2 R2 B' R D' U F2 U,B L' B2 U2 F2 R' F2 U2 B,D U R D2 U2 B2 L D' U B' R2 B' D2,49
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L B U R F',L2 B D R' B' F' U' L F R,L2 F D2 R2 D F D R F' L2 R' U2,F D L D L2 B2 L D L' B2 L D2 F',B2 R2 U2 L2 F U2 R2 D2 B',49
