scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' L B' L F',L' U' R B' U' L D2 R U2,L2 B D R' D L2 R2 B L2 B',F2 D2 F2 R' B F2 U F' R2 F U' B' F2,F' R' F D B U R U' B' D',47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B L2 U' R' B' L2,B2 D U L F' U L' D' B2,B U2 F U2 R F' U R B U2 B2 F,F2 R2 D' F' D R' B R' F R B' F,U2 B2 D U L U' L' D' B2 U B U B',52
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R2 D B' R U,F U' L2 U2 L U2 F2 L U,D' R F2 D2 B U' R2 B L B2 F',R2 U F2 D R F' L F2 U2 R D L U B2,U L2 D2 B R2 D2 L2 F U,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D L D2 R2 F2,U F' U2 B R U' R B' U2,R2 B2 F' U2 L2 B D2 L B F2 D,B' R2 B' R F2 R' D' B D' R D2 R B F2,U2 R B F' U2 B' F R U2,48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F L2 D U L2,D L2 F2 U2 F' U L2 D' B',D' R' B U2 B2 D U L2 U' B D R,R F D F2 R2 U' R' U R' F D' R',U2 R' B F' U2 B' F R' U2,47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F' U' L' R2,D L F L2 F L' U L2 U',R B F R U F2 R' B2 D' L' B F,F' R2 B' F D B F' R F,U2 B2 D U L U' L' D' B2 U B U B',47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 U2 L U B',D2 F' L' B' L U' L2 B L2,R2 B' F' D' B2 U F R' B2 L B R2,F R U2 B2 D2 L' D L D' L B2 U2 F R2,D B U R' U' B' D' F' R F,50
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' D' U2 B2 F' L U,D2 R B' D' B2 L2 U2 L2 B',F R' B U' R' U' F U' R2 B' F' D',D B U R' B2 L2 F2 L D F' D' L B2 U' B',F' R' F R B U2 F' U' F' U F2 U2 B',56
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 U' L' R' U R,D' F2 D B2 F U' B2,D R2 F D' F' R D' F R2 B U2 B',R' B U F2 R U' R2 U' B' D B2 L U B2 R',D B U R' U' B' D' F' R F,50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' U2 L' D' B' R',D' U' L' F2 U2 F' L F' U,B2 F R' F L' R B F' L' D B,R2 F D2 B F2 R' U' R' B U B2 R' F D R,F R' D B F' R' U F' R U' B' F R D',55
