scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 U F' U' L' D,F' L2 B' L' B' L D2 B2 F,D' U2 F' L2 F' L2 F D U2,L' D2 R F2 R B R B' R2 F' R' D F L,D' L R' B D' B' L' R D F,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F' L' U2 F2 D,D' B2 F R D B2 L F U2 F',F R' D R' F' L2 B' L2 F R2 D' F',D L' D' L2 B2 U2 B U' B' U B U2 B L',F' D' L R' B D B' L' R D,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' D' R2 B L' D2,D' B L D2 F2 D2 L' B' D,L U2 B' L' D2 U2 L D F D U2 B,L' F' L D' L' D R' D2 L R B D2 B',D' L R' B D' B' L' R D F,50
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' F2 U2,U' R2 F2 U L2 D L2 B2,F R2 D' U B' U' B D U' R2 F',R' U' B2 L' D' U2 R' F2 U' B2 R D R B2,F2 D2 B' F' L' F L B D2 F' D' F' D,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L F' D R' B2,L2 B' U' L' R2 U L' B2 L2 B,F' L' D' R U L' F U L2 R' D',D F U' F2 U L2 D F2 D2 B' L' B L',D L2 R2 U' B' U L2 R2 D' F,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U2 F' U2 F2 L' F',B' L2 U' F' U' B2 D F U2,U B F D2 B U' F' R2 B2 U',U2 B2 L R B2 L' B R' B U2 L2 U L2 U',F' D L2 R2 U' B U L2 R2 D',49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' F2 R2 B D,D U' F' U L B2 D' B,F2 U B2 U' R2 D B2 D F2 U,L F2 L F L2 B F2 D' B' R' D2 R F' L',F' D' L R' B D B' L' R D,47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 F2 U R F2 D,B' F R2 D R' F' L U2 B2 U,R2 B2 L' B' L2 B' L' U B2 L R2,D L' F2 D F' D' L D2 L2 F2 L2 B D B',R U' R' U' R2 D B U B' D' U' R2 U2,54
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 D R2 B2 L2 R',U2 R2 U L2 U' B R U' B U',F' R' B R F L R2 U' B' L' R2,L' D2 F D' L' F2 L' R2 U B2 U' L' R2 D',F' D' L R' B D B' L' R D,51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' U R D2 L',D F' D' B2 L B L B,L D R' D' B' R' B' L' R2 F D,L B' L B U2 B D2 R2 B L B' U2 F2 R D2,R U' R' U' R2 D B U B' D' U' R2 U2,52
