scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D' L' D2 F',F U' F L U2 B F2 L,D2 B2 F2 R' B2 F' L U L' U' F' D2,F' L R B' L' R' F2 R2 D' R2 F',B D' U R' D' R D U' B' D,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,L' D' F' L' R' U',F U L' F D B2 R2 U B R2,U2 R2 B' L' D R2 B2 U2 L B2 F' L' B2,R2 B D L D B2 D' B' L' B' D2 R2,D R' B F' U R' U' B' F R,51
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' B U' L U' L,F2 U2 F' L' D2 B2 D2 F' L',L' B2 L D' L' U2 R2 F2 R' U2 B2 D',L2 B' D' L D' U B' D2 U' B L2,B' D2 B2 D U R D' R' U' B2 D B D,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R' U B R2 D',D2 F U F' L' R' B2 L D2 L2,B' U2 B' D' B' U2 L B2 R2 U2 B' D,F D B2 F2 R B' F U' B' D' U B',B D' U R' D' R D U' B' D,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R2 D F2 R D F',B D' B2 L B' D L' B',L' U2 R' D2 R U2 B' F L F' L B,L' F L' R U' L' B' L R' U L2,D F D' F2 D2 B F R F' R' B' D2 F,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' D' F' U R2,R' B' U B' U' L' D2 B L,B2 D' L' U L U2 L' U2 L D U B2,B D R' U2 B2 U2 R' F2 D2 F2 D' B',D F D' F2 D2 B F R F' R' B' D2 F,51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' B2 R F2 L U',F' D2 R2 B U2 B U F R' D2,B U F' D' R2 D L2 B R' D R F2 L',R2 B L' B2 U2 F2 L' U2 B2 D L R,D' R' D L R B2 R2 B' R B R B2 L',54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U F L' F R2,B' L' F' R' U' F D L R,L U' R U2 F U' F' L' U2 R' U,L2 U L2 R2 B2 L R' U L R' F U' L2,D' R' D L R B2 R2 B' R B R B2 L',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 L2 B' D' F L2,U F2 D2 R' F2 U' R B' D2,B F2 U' F' L2 F U' F L2 U B' U2,F L F2 R2 D B2 L2 B2 L2 R2 U L F',F R' B' D' B R F L D L' F2,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U B' F L' D F2,B U' L B2 U' F' L F' U2,B2 U2 R2 U R' D' F2 U2 L' U' L D B2,L D' B2 F D2 B' F L' B' F U' F D L',D' B D' U R' D R D U' B',52
