scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R U2 B2 F' U' R2,D U2 L B' F2 U B L2 D',F2 L2 U' L' U L2 B L2 B' F2,R U R' F2 U2 F' R' F' R U2 F2 U,F2 U2 B2 D L D' B2 U R' U R F2,49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' U2 B2 F R B2,D F' L2 U L' D' U' L,U' L U2 L U L' U2 F' L2 F U,F2 R' F' R F' D' U2 B' U B D U,D' B2 D R' F2 R D' B2 D R' F2 R,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D B' U F2 R B2,D' B2 F L2 D L2 R2 F' D B2,U2 B U' F' U L2 U L U2 F U B',L2 U' L2 B' U2 F U F U2 B L2 F' U,F2 D U F' U' F D' F2 U F' U',52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D2 B U L2 R D2,D L' F2 L F2 L2 D F' D2,U' L2 F U F' U' L U2 F' U' F,U' F' L R U' R' U L' R' F' R F2 U,D' U' B2 D' R D B2 U2 L U L' D U2,52
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' U R D' B2 F',U' L D2 B' F U2 B D' L D',B D B' L' U2 B F' L B D' B2 U2,D' L2 F2 D F R' F' R' D U2 B' R2 D' U2,L U' B2 D' R D B2 U2 L U L' U2 L',55
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B D' F R' U' R,L' D L2 B' U B D' L,U' B L B' F' D' U2 L2 D U2 F U,D' L F' L2 B' L2 F L' B' U B2 D L2,F' R' F R B U2 F' U' F' U F2 U2 B',52
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B R U' L' B2 R F',B2 R' F U2 R U2 B F' L B,L2 F D' R B' R' D U F' L2,L2 U L2 U2 F' D F' D' F2 U2 L U' L',F2 U2 B2 D L D' B2 U R' U R F2,52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F U2 B' D' R' D2,B D2 F R U2 R F2 D2 B L,U' R U B U2 B2 L2 U' L2 B U2 R',L' B' F' U' F U B F R' F' L R,L2 U R U' L2 R' F2 L2 U' B' U B L2 F2,54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 L' R2 D' B,D F' U F L2 U2 F2 D',L2 U2 L U L2 U F U F' U2 L,L2 D F D' B D2 R2 F R' B' D' F2 D' L2 F',F2 U2 B2 D L D' B2 U R' U R F2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F U L2 R2 F,D F2 L' D2 R' D' R F' D2,B L B' U L D F' D' L',R B' D F U' B2 U2 F' L B2 D' R2 U2 R B,D' B2 D R' F2 R D' B2 D R' F2 R,50
