scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B' R' U' B' L2 F,B' L D R' B' L' R D B,U B U' R2 F2 L' F2 R2 D' B D B',L2 D R D L' D R' D' F2 R' F2 L',R U' L' R B R' B' L R' U,49
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D2 U2 L D2 R2 B',L2 F' R' D' B2 F L B2,L2 B' U2 B U2 R B L B2 L U2 R',L' R B2 U' B' U B R B2 L R2,B D U' L' B' L D' U B' R,47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U F2 R2 B R',U B D' F U' L' R' D' L2,F R D' B L2 D' L2 D B' R' F',U R B' R' U' R2 B U R2 B R U' R2,R U' L' R B R' B' L R' U,48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U' R F2 D' B' L2 U2,B D' B' L2 F' L' F2 L F,F' D B2 L2 D' F D L2 F L2 B2 D',R2 U2 R' U2 R' U2 R' U F' U2 F U',U' B' D' U R2 D U' B' U,49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,R D R2 F' R B,F' R' D' F L2 F2 R F2,L2 B U R' U2 L2 U2 R U' L2 B' L2,B U' B R U2 L' D' B2 D L U' R' B2,U' B' D' U R2 D U' B' U,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' L B' U F,B U' F' U' R2 U2 B',B' F2 U B2 U' B F2 L B2 L',F R' D2 B R' U R U' B' D' R' D' R F',R' F' L2 R2 B R B' L2 R2 F,46
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D2 L' R2 F U2,L F' L2 B D2 F2 L D L' B',L2 D L F' L2 U F' U' L2 F L D',D B2 R U L U' L' B' U' B R' B2 D',U' B' D' U R2 D U' B' U,49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F D L' R' U F,F' D F L2 F' R2 D R' F,D R2 F R' F2 D2 L U2 B' D L' U2 L',D' U2 F2 R D' U2 L F L' F' D2 U R2 U',R' F' L2 R2 B R B' L2 R2 F,52
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 D' B D2 L R' U,D U R2 B2 R2 B' U' L D,D B2 D2 F' D' F' D2 B2 U2 F' D' F,L' R2 B' U R' U' B L R2 U2 R U' R' U',,42
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B F U2 R B' D F2,F' R' D L2 F2 L2 R F,U2 R D' U B D U B D' B' D R',B' U2 F D2 B2 F D F2 D B' D' R' F2 D F2,D2 F' R F D B U R' U' B' D,53
