scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D' B' F' U R',U' L' F2 R2 B R2 F2 L,U R' F R' B L U' L' R F' R2 U' B',L2 D B2 D2 R D2 B2 D2 R D L2,R U B F' L' U2 L U2 B' F R2 U' R,51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R B F' R',D2 R2 U R' D2 U,R U' R' B' U2 B' D' F D R2 B2,F L R' D' F' D' L' R F U,F' L R' D F2 D' L R D2 R2 B' D2 L2,44
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R B' L2 F' L D2,R B2 D' B D B R',L' B F' L B R2 B2 D2 B U' R D2,R2 F2 L2 D L2 F2 D' U F2 D,R U' R' U' R2 D B U B' D' U' R2 U2,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U F2 R2 B,D U' F2 R U2 R' F' D' U',R' U' R2 U B R2 U R U2 R' B' U2,L' F2 R2 D R2 F2 U' L' R B L2 B R',U L' U2 L D2 B2 U2 R D2 F2 L U',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R2 D B' R' F D2,D R U' R' F U F D',B' U2 B2 U R' B2 U B R2 U R2 U,F' L2 B' L' R D L' R' F,D L' R2 D2 L2 U' B' R' U' B L' D B,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 U2 B' F L F2,B2 L B2 R' U2 R U',D' F U F' D2 L' B' L D' R U' R',U' R B D2 L F U' F' D2 R' B' U,B R' D L2 B' D2 R2 U2 F' R2 D R B',50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U2 L' F2 L' D L,D F' R' U' B2 D B2 R D',D2 R2 B' R2 F' R B R' U' F D2,L D' R2 D L B R B2 R' B' L2,R' U' B F' L U2 L D2 B' F L2 U' R',50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' R F2 D U' B,R F U2 B2 U' F L' B2 F2,U B2 U' R B U' B2 U B' R U R2 B2,F2 L2 D' R' D U' B U L2 F2,R' B F' U F U' B' F R F',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U L U' R U' B D2,F' D' L B2 L' B' F L B,B F' R2 U' L' F U2 B' U R D2 U2,L' D2 F2 U L R' F' D2 B2 R,U B' D' B F' R B R' U B' F R' D U',52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F R2 D' L F,D' R' D2 L F2 D' L',R U2 R' D' F2 L D F' D2 F2 D L' D,F L2 R2 F2 R F' L' R U L' B2 F',F2 R2 U2 F' D2 L2 B2 U' R2 U2 R' D2 L2 U,51
