scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R D' L2 B' D' R2 B,B2 U' R2 F R U2 B' U' B2,B' R2 B' D' U R2 F2 D2 U' B D',L2 U' L2 F U' F' U2 F' D' B2 L2 D F,L U L' D' U B U' B' D U',50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' R D2 F2 R2 B',D B2 D B2 D F' L D,F R' F R D' F' D R2 F' R,B2 D2 U B2 D2 U' B' U' L F2 L' U B',R' U' R D U B2 U2 B' U B U B2 D',50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L U' F' L U2,D U B' D' R' U' F2,U' R U F L' U2 R' U2 L F,R F D' F D' U2 L' D U2 F' D F' R',U' R U2 F2 D2 L D2 F2 U',44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U' R2 D' L R' B' U,D' F L D' L2 D' B' D',F2 D' F' D U' F' R F R2 U F',F2 U2 L' F' D F D' F L F' U2 F2,L U L' D' U B U' B' D U',48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 R2 B L' U,U R' U2 B U' B' U F,U2 F' D' F U' L2 F D F' U',D F D2 R D' R' D' F2 U L2 U' F D',D' U B U B' D U' L U' L',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' R D' B2 R,D U B' R' D' U' F,D B' D F' D2 L2 F2 L2 B F2,D' U' B2 R' B' D B2 D' B R D U,U R' F2 D2 B2 L' D2 F2 U,43
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L F' R2 F2 R D',R2 U' R2 F,F' R F2 R' F2 D' F2 D F,D F' D' U2 L2 D L' U' L F2 U' F' D',L' U2 R B L B' L' R' U2 L2 U L' U',45
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R F2 D' B L,F' D' L2 D2 R' B' R D',B' D' L D2 L' D' B R2 F R2,D U' R2 D' F' U L D F D' L' F,L' U2 R B L B' L' R' U2 L2 U L' U',48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F' L2 R' B' U2,F2 D2 L B2 D' B D L2 D2,B U R U' R2 F2 R B' R F2,U L2 D' B D' R B' D' R D' L2 U F' U2,D' U B U B' D U' L U' L',48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B2 F L' B' U L2,F2 D' U' R' F L' R D U,D B U R U' R2 B' R D' R F,F2 U2 L2 U' F2 U' F2 D F U F D' U',L U L' D' U B U' B' D U',50
