scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D F R B2 D2,B' R' U2 L D L' R F',D' R D U' B2 U B' D' R D,L R2 D R' B' D' L2 D2 L D' L B L' R',U' F' U B2 U' F U B2,45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U F' U L2 F2 R',L' D' F2 U B L2 R' D2 B',L B2 L' R F2 L U' L' F2 D2 B' R',D2 R D2 R2 F U2 L2 U2 F' R D2,F' L2 F' R F L2 F' R' F2,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' B' U' L2 F' R,R D' B' R' D L2 U' F' D',F' U' L' B2 L' D2 R' D2 L2 U F,B' L' R2 D R2 D2 R2 D R2 D L B,,38
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 F U' B' R2,U' R D2 L2 D2 B R' U,B L' D2 L B2 R B' U' B2 U,R B2 L' B' D2 B' D2 R D' L' D' L2 R2,D F' D L2 D' F D F' L2 F D2,47
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U' B' L2 B' D2,U B D L D F' D2 B2 U',U' B' U B R2 B' R' U R' U',U2 B U2 R2 D2 F' L2 F' L2 F2 D2 R2,L F R2 F' L' F R2 F',44
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B F2 D L' F',U' L B2 L2 B2 U' L',B2 L' D2 B U' B' U R' D2 L,L2 B R2 F R2 U' L' U2 L U B U2 B2 L2,B2 D' F2 D B2 D' F2 D,45
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D L F2 U R2,F' U' B' D2 F D L D B,D2 L' R2 D L R' B' R' D2,D2 U2 F D' B D F' D2 B' U2 L' D' L,D' F2 D B2 D' F2 D B2,44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' F' L2 D' F2 U' F2,D2 F2 D2 B' U' L' B2 L,D2 F2 U L' U L F U2 F D2,R2 D F2 L' D2 L D' B D2 B' D F2 D' R2,F U2 F D' F' U2 F D F2,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,L B2 D L' B R,D2 L' U L F D R' D,R U L B U' B' L' U' B2 R',F' L B' F' L' F2 D' L' F L2 D B D' F2 L',F2 R F L2 F' R' F L2 F,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L2 F R2 B L' D,D' B' R' B' D L U' L2 B,R' B2 L' B' R' B D R2 D L,L2 R2 U F' R' D' R D F L D' L' U' L2 R2,R F2 R' U B2 U' R F2 R' U B2 U',52
