scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U R D2 U L2 F U,R U' R F2 U F' R' D' L2 D,D B L D2 B' L' B' D L2 D L' D',F' D B' D' B2 F U B U' B2,D B' D' B' D' B' D B D B,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' L R' D2 B' F2,R2 F U L B D' B' U' R2,L B2 L' B' U F' R B2 F U' B,D2 B2 U B' U' B F' D' B' D B2 F D2,F L' B F' D2 B' F L' F',48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' U' L2 B' D,U F D' U2 F D' B R2 B2 U,B2 D' R D' R' B D B D2 B,U' F2 U' F D2 F2 R D2 R' F2 D2 F' U2,B' D' B' D' B D B D B D',48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R U2 L D',L2 B F D' R' B2 D' B L R2,B' L2 R2 U' F' U L2 R2 D' B2,D2 F D2 F' R2 B R2 D2 L' B L D2 B',D2 B F L B' L' F' D2 B D B D' B2,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R' F' L' U2,F' D2 F' L2 D L' F D2 R,D2 B' D' L2 R' U' L B L U R,L R2 F L2 F' L D F D' F L F2 R2,L2 F' D F L B R D' R' B' L,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L D R' D R2,R2 B U' R' U' B' R2 F L,D R2 B2 D R D R' D2 B2 R2 D2,U' F' L2 D' B' D F D' B U L' B2 L D,L' B R D R' B' L' F' D' F L2,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D' B2 F2 D2 F R,F' R B L D' L F U2 L,B2 F L' F' U' B D' B' L U L' B2,D2 B' D2 F' R2 B U2 B' U2 F' U2 F2 R2,F L' B F' D2 B' F L' F',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' L2 D2 L' D F',L R2 B2 D F D' R' B2 R2,B F D L2 D' B L2 B' L' F',R' B L' B2 L2 R' U F2 U' L R2 D L2 B',B' D' B' D' B D B D B D',49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 L F' R2 B' R',U2 L' B' D L' D' B2 U2 L,B' L2 D B' L' B D' B F' D2 F,B U2 R U2 R' F2 U' B' F2 D R2 D' R',F' D' F D B R2 F' R' F' R F2 R2 B',52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D R D' U' L B2 U,R D' L U2 L U2 F2 D,R D R' F D' B' D L' F' D B,D' B' R' U B2 U L' U2 B' L R2 D2 L' D' R',F D' U L' D' L D U' F' D,51
