scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 U' L' R' F' L,U2 B U2 F' U B2 F,R' U' B' R' U B' U2 B2 U R U B',B2 L' B' F U B2 U' B F' L,D2 F L' F' D' B' U' L U B D',46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D F D2 L2 F' L' D,U2 R U R B2 R2 U,B' R B' R' D2 L U L' D2 B,R D2 L F L F' D2 R' D L' D',U2 B D' U R' U' R D U' B' U',46
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 L' R B' D' F2 L',R' F R B' F' U' B',L B U2 R2 U R' B U' B' R2 B' L',D L2 D2 R F R F' U2 R2 D R' U2 R,U F' L2 R2 B L B' L2 R2 F L' U',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F2 L2 R F2,L U' L' U B' U2 B,F' U' L2 R B2 L' D2 L' R' F U,U B' D U' L D',U' L' B' R' F' U F R B L,39
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R2 B' F2 D' R2 B D2,B U2 B' R B' R' B',R U2 R' U' F' U' R2 F R2 U' F U,U' L B' U R' F' U L' F L' U R,L' F' D' B' U' L U B D F,48
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' D L' R2 U2 F',U L2 D' R' D L2 B2,L B F R B' D R' F L' R' F2 R,R' U' L U L' B2 U B L' B L R B',L' R B' U B2 U' R' U' B' U2 B L U2,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' U2 F2 L' D L2,B' U F' U2 B' F U2,R' D2 L' D2 R2 U2 L U' L' B U' R',R B R2 F' R' F2 R U2 F U R B',B L2 B L2 B2 L2 B2 L U' B' U2 B L U,51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' F L2 D,L U' L' U B2 U' B2,R2 D' U F U' F2 R' F R F2 D,U2 F R2 F R F2 L' U F R F' L U2,L' B U R' B' U2 B U R B' U' B' U2 L,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' U' F2 R U' L2,B' U' B2 D' R2 D B,R F' L' U L' B' U2 R2 B' U L2 D2,D B' L2 B' D' B' R D' R F' R2 D B2,F2 L D F2 D' F' R' F' D2 F D' L' R,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F2 D' F' L B D' F,D2 U2 L' U' F2 D2 R' B',F' L R' F' R B2 L U L U' B2 L' F,B2 L' B R' B D' B D L R' U2 R2 B,F2 D B' F L2 B2 F2 R F R' B' F D F,55
