scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F' R' F D B',R' B' R' B' D' B2 R U2,B' F D F' D' U' F' R2 F R2 U B,F' D' R U L2 U' R B2 R2 D L2 F',,37
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F2 D' L F' D2 B,U' B L2 U2 L2 B' R U R',F L2 U2 L2 U2 F U' L2 U2 L2 F2,L B' L F U' F2 L' F L' U' B' U2 B2,,39
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B2 D' U' L' B,R' U F' L2 U2 R U L2 F,F L2 B D2 F' D2 B' U' L F' L' U,B2 L' D L' U' L2 D' U2 B' U' B' L B2 L',R F2 R' U B2 U' R F2 R' U B2 U',52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' B F D2 L' D',U' F L' R' F2 L U' F R,L2 U2 B' U' B U2 L2 F L' U L F',D F' R2 D' B U' B D B2 U R2 F,R2 F2 L' F L' F' L2 D2 R' B' R D2 F2 R2,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D2 R' U2 B D' L,B' F R' D' F' R2 D' B R',D R2 D B' R2 D2 U' B' L' F' L U B,L2 R' D' B2 D F' D2 B2 R' B R D2 F R,R' U' F' U' F2 R2 B' D' B R2 F' U2 R,55
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F2 D' L' R2,B' R D2 R2 D R B U2,D U2 R2 D L2 B' D2 U2 L2 R2 F',L2 B2 R' B L2 B' L2 R B2 L B L B2,R2 F2 L' F L' F' L2 D2 R' B' R D2 F2 R2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 B' D2 U' R B',R U' L B' R2 F R B L',U' L' B U F' L2 U' L2 B' U F L',F' R2 F' L' B L F' L B' L' F2 R2 F,R2 F2 L' F L' F' L2 D2 R' B' R D2 F2 R2,54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R2 F D' L' B' R' B2,F R2 F' U2 R U2 R2,F U F' D' U2 L2 B' U' B U2 L2 D,D L2 F2 L F2 L F2 L2 F' L' F' D',F U' B2 U' F' U L B' U' B L2 B2 R' U' R U2,54
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 F' D' R2,L2 D2 B D2 L U' L F,F D' L2 F' D U' F U L' B D L' B',F L2 F' L' F2 L U' L' F' L U L2 F' L2,F U' B2 U' F' U L B' U' B L2 B2 R' U' R U2,55
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D2 F2 R,D U2 R' D R2 D2 U,R U L' R' U2 F U2 L U2 R U R' U,L2 B' D' U B2 U' B D B L2 B' L2 B,F U' B2 U' F' U L B' U' B L2 B2 R' U' R U2,53
