scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R' D B U' R2 D2,F2 L2 R U L2 D R' F2,R F2 U L U' R' D2,D' L2 U B2 D' B2 L' D' L D2 U',F' D' B F' R F R' B' F D,42
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R B2 F D U' B' U,L2 U2 F L' U' R D B2 L' R',U L2 R B D B' R' D L D' U',L2 F L U L' B L2 B' L' U' F' L,R2 U2 L2 B L2 U2 R2 F,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F' U L' F D2 U2,L2 R U' L D2 R' F2 L B2,R F2 U2 B2 D' B2 U2 F2 R',D2 L2 R' D2 L D' L' D2 R D L2 D2,L' D' B' F L2 B F' D' L,45
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L U' R B2 F R',B' U2 R2 B2 R' D2 R' F U2,R' F D' R2 D2 U' R2 D' R B U,D R D' L' D R' D' L2 F L2 F' L',R2 U2 L2 B L2 U2 R2 F,46
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U' R F' L' B2 U R,L D L' F D' F2,D L' B R D' F' R' B' U B2 U',F L2 F' D2 L' D2 L D L2 D L',,35
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' F L R2 U B2 R',R' U2 R B2 F R' U' L R,F D2 U' R D B' D B U F',L' B D' B' D B' F2 L' B L F' L F',L B' L B L' R D' L' D R',49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U' B' F D L R2,B' U F' R' F L' D R U' F',B' L D' L' B D R2 F R2,R' D2 L D F L' F' D B D B' L' R,R2 U2 L2 B L2 U2 R2 F,46
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F2 U B L D2 R2,L B R D' L U R' B2 L2,D' U2 B2 U' L D L U B U2,F U L2 D L' D' L2 D2 F' D' F D' U' F',D' B F' R F' R' B' F D F,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B U R2 F' L',L2 R2 B' R' U' L2 D2 R',F D F D2 U2 B2 D U2 F',F L2 B F' L D' L' D B' D2 L2 D L2 D2,F' R2 U2 L2 B' L2 U2 R2,44
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' F R' D B2,R U2 R2 D2 R B' L2 F,F' U2 L' D L D B2 U R2 D2 U F',D' F2 R' B R F2 L2 R' B L2 B' R D,L D L' D2 L2 D U B D' B' U' L2 D,51
