scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D2 L D L B,L' U' B L2 B2 U L U2,B R2 F' R D' R D2 R2 F2 D2 B' F',R2 D' U2 L' D' F' D F D L U2 R2,R B2 R B' F D' B2 D B F' R2,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B D R2 B R F,U2 B D' U R D U,B2 R' F2 R' U2 B' F U2 B' D F R2,R B R' B2 L B' L' F2 L2 U' L2 B2 F2,L2 B F' D' L2 D B' F L' U2 L',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 F R2 D B D',U2 B' L2 D' R U B2 D B,F' D' B D F D' R' D B',U' B D' B2 R' B' R B2 D U,R B2 R B' F D' B2 D B F' R2,45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U B2 F D R,U2 R B2 R2 U R U,L D L' B2 D' F' D R' F R B2 D',D B F' R' F' D2 F R F' D2 B' F2 D',F2 D U F D2 L2 D2 F D' U',47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' F2 D' L R,F' U' B L F L2 F L2 B2,L' B D' R' F' D2 B' D F L2 D,B R2 D2 L D2 L' D F D' F R F2 R B',L2 B F' D' L2 D B' F L' U2 L',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F2 L' R D,U' R' F' U' L' F U R B,B U2 B2 L' B2 U2 R D2 B R' B2,B2 L2 D' L D' B' D2 L2 U' L' B' U B',,38
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U2 F' U2 B2 R' D',U' L B2 D U F D' B',F L' F' L' D F D' F' L' U' F2 U,L' D2 L' U R F2 R' U' L2,L2 U' L' R B L' B' L R' U L',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 L2 B' D' L2,B R' B L' B D' L U2 R2 B,B D2 F2 R' F U' R2 U R F D2 B',B' L' B' U2 R' F2 L F' L' R U2 B2,L B2 D2 F2 R' F2 D2 B2 L2,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R' B2 R' D' U',D' U B' R D' U' F' D2 B' L',B F' D F2 D2 U F2 U' R2 B' F,L2 B' R B L2 D2 L B' R' U' B U L',B2 F2 U' R B' U R' B2 F2 L D' B L' D,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B2 D' B L2 F2,L R' B' U' B R' F' R2 U,D' B' U' B F2 L F2 D B' L U B,D F D2 F' L U2 B R2 B' L' D' L U2 L',B2 F2 U' R B' U R' B2 F2 L D' B L' D,54
