scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F' R L' B' L' F2 B R2 U F2 D B' F2 D' B D' U2 F' R' D',x2,R' B2 U' R' B F2,R2 B F' U' B' F' R F2 R',L F2 D L2 F' L' U2 L' D' F2 L',R' D F2 D' L F2 R U' L' U L' U2,D F D' L R' B D' B' L' R,48
B2 R F' R U F' D' U2 B' D2 L U D F L R F2 R2 L' U F' B2 U L' B',x2,F2 D L2 U2 F',F D2 L B' R2 D2 L',B' U' F2 D F U' R2 D' B F' L2,L B L' B' F U2 L' U2 L U2 L F' L2,L' U' L2 B2 R2 D' R2 B2 L',45
L2 R2 U2 R' F U2 B2 R' D2 U' L' B2 D' F U' D F B2 R D2 L2,x2,R2 D' B2 L,F R' B' F' D B L' U' L F2,R' F R U F U2 B F' L B',F2 L' U L' U' L R U R' U' F2 U L,F L B D2 F' D' F' D F2 D2 B' F' L',50
D F R L2 D' B' R2 L2 F' R' D B' L2 B' R L2 B2 U2 L' B',x2,L B L F' U2,L D B R2 D' L' R2 F2,B2 U2 L' U' L2 B2 L' U' R D2 R' B2,L' B' R' U' R U2 L' U L U2 B L,D F D' L R' B D' B' L' R,47
L D' F B' R' B' L F' D R U R U L' F2 B2 R B2 F L' F2,x2,U' F2 R B' L2,R' D F' L2 U B2 L2 R' F R2,B' L' U B2 U' R D2 B2 R' U L B',F' L B L' D B D B' D' B' F,F L B D2 F' D' F' D F2 D2 B' F' L',51
B R' B R F' R2 F' D' F' L2 D' R D2 B2 F2 U' F' U2 F D B' R2 U R2 U,x2,B' D' U' B' D' U,F2 L' R' F R' F' L F2,L' U L B R' F2 U' F U R B',R' D L' U L F U F' D' U' R,R' U' F' U L' R B' U B L,46
U B D B' U' R' D2 R' F U D2 R B F D2 R2 L' U2 B2 U2 F2 B D' L2,x2,L2 D' U' L F' D2,D' B' F' U2 B D2 R' U2 B D',B2 L' U' L' U' R B2 L2 R' U' B2,R' F2 L2 U' F' U F L F' L F2 R,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,53
U R2 L' B U2 L2 U F2 D B2 U L U2 R' D2 L F' U' D2 F2 U',x2,F' U' L' U' B U',L2 B' R F D' U2 B F',D2 L' D2 F' L' F D2 U' L D2,L' F' L F' D2 L2 U' R2 U' L2 D2 R2 F2,L2 F D' U L2 D U' F L2,46
B' R2 D' L2 U F R' F B' U2 R' B' U' R' F' U2 L U F' B2 D2 L,x2,D2 U2 L D' U' R,R' B D2 L' U L' D2 B' F,L2 U2 L' R' F' L' B F' L B' R,F2 D2 F' U B' L' B2 F2 R F2 R2 B' U' F',L2 F D' U L2 D U' F L2,49
L2 D F' L' F' L2 F' U' D F2 R' L B2 F' L' R2 F B2 R' L U L2,x2,D2 L B' D' U',R B' U' F D2 U B R',B2 U2 F' L2 B2 F R B R' U2 B',F L2 U' L U' L' U2 L2 F R' F R F,F' L B F D2 F2 D' F D F D2 B' L',50
